No overlap between train and test sets.
[0]	train-logloss:0.03576	train-auc:0.99796	eval-logloss:0.04051	eval-auc:0.99806
[1]	train-logloss:0.10090	train-auc:0.22012	eval-logloss:0.12363	eval-auc:0.17790
[2]	train-logloss:0.09641	train-auc:0.99688	eval-logloss:0.12003	eval-auc:0.99498
[3]	train-logloss:0.04718	train-auc:0.99412	eval-logloss:0.05629	eval-auc:0.99497
[4]	train-logloss:0.02484	train-auc:0.98971	eval-logloss:0.02943	eval-auc:0.99175
[5]	train-logloss:0.07608	train-auc:0.98842	eval-logloss:0.09419	eval-auc:0.97687
[6]	train-logloss:0.02576	train-auc:0.99412	eval-logloss:0.03132	eval-auc:0.99493
[7]	train-logloss:0.09979	train-auc:0.97977	eval-logloss:0.12381	eval-auc:0.96920
[8]	train-logloss:0.09550	train-auc:0.99844	eval-logloss:0.11217	eval-auc:0.99794
[9]	train-logloss:0.09488	train-auc:0.99513	eval-logloss:0.11187	eval-auc:0.99791
[10]	train-logloss:0.04830	train-auc:0.99056	eval-logloss:0.04522	eval-auc:0.99497
[11]	train-logloss:0.02713	train-auc:0.98216	eval-logloss:0.02278	eval-auc:0.98628
[12]	train-logloss:0.02242	train-auc:0.98271	eval-logloss:0.01939	eval-auc:0.98665
[13]	train-logloss:0.01997	train-auc:0.98559	eval-logloss:0.01749	eval-auc:0.98674
[14]	train-logloss:0.01668	train-auc:0.98725	eval-logloss:0.01577	eval-auc:0.98694
[15]	train-logloss:0.01451	train-auc:0.98753	eval-logloss:0.01472	eval-auc:0.98718
[16]	train-logloss:0.01266	train-auc:0.98928	eval-logloss:0.01463	eval-auc:0.98734
[17]	train-logloss:0.01139	train-auc:0.99069	eval-logloss:0.01448	eval-auc:0.98755
[18]	train-logloss:0.01029	train-auc:0.99087	eval-logloss:0.01411	eval-auc:0.99033
[19]	train-logloss:0.00932	train-auc:0.99097	eval-logloss:0.01407	eval-auc:0.99122
[20]	train-logloss:0.00863	train-auc:0.99109	eval-logloss:0.01399	eval-auc:0.99034
[21]	train-logloss:0.00818	train-auc:0.99121	eval-logloss:0.01373	eval-auc:0.99133
[22]	train-logloss:0.00756	train-auc:0.99222	eval-logloss:0.01366	eval-auc:0.99265
[23]	train-logloss:0.00704	train-auc:0.99417	eval-logloss:0.01351	eval-auc:0.99302
[24]	train-logloss:0.00655	train-auc:0.99549	eval-logloss:0.01342	eval-auc:0.99317
[25]	train-logloss:0.00608	train-auc:0.99626	eval-logloss:0.01335	eval-auc:0.99309
[26]	train-logloss:0.00569	train-auc:0.99641	eval-logloss:0.01339	eval-auc:0.99337
[27]	train-logloss:0.00538	train-auc:0.99653	eval-logloss:0.01341	eval-auc:0.99337
[28]	train-logloss:0.00509	train-auc:0.99660	eval-logloss:0.01350	eval-auc:0.99347
[29]	train-logloss:0.00491	train-auc:0.99664	eval-logloss:0.01343	eval-auc:0.99353
[30]	train-logloss:0.00467	train-auc:0.99671	eval-logloss:0.01307	eval-auc:0.99508
[31]	train-logloss:0.00444	train-auc:0.99683	eval-logloss:0.01338	eval-auc:0.99408
[32]	train-logloss:0.00422	train-auc:0.99743	eval-logloss:0.01341	eval-auc:0.99421
[33]	train-logloss:0.00395	train-auc:0.99877	eval-logloss:0.01357	eval-auc:0.99471
[34]	train-logloss:0.00376	train-auc:0.99939	eval-logloss:0.01371	eval-auc:0.99558
[35]	train-logloss:0.00312	train-auc:0.99969	eval-logloss:0.01367	eval-auc:0.99575
[36]	train-logloss:0.00294	train-auc:0.99982	eval-logloss:0.01375	eval-auc:0.99619
[37]	train-logloss:0.00279	train-auc:0.99987	eval-logloss:0.01381	eval-auc:0.99601
[38]	train-logloss:0.00268	train-auc:0.99989	eval-logloss:0.01390	eval-auc:0.99601
[39]	train-logloss:0.00255	train-auc:0.99991	eval-logloss:0.01384	eval-auc:0.99631
[40]	train-logloss:0.00246	train-auc:0.99993	eval-logloss:0.01373	eval-auc:0.99665
[41]	train-logloss:0.00238	train-auc:0.99993	eval-logloss:0.01391	eval-auc:0.99617
[42]	train-logloss:0.00177	train-auc:0.99993	eval-logloss:0.01393	eval-auc:0.99574
[43]	train-logloss:0.00169	train-auc:0.99994	eval-logloss:0.01410	eval-auc:0.99624
[44]	train-logloss:0.00162	train-auc:0.99994	eval-logloss:0.01400	eval-auc:0.99683
[45]	train-logloss:0.00155	train-auc:0.99994	eval-logloss:0.01411	eval-auc:0.99694
[46]	train-logloss:0.00148	train-auc:0.99995	eval-logloss:0.01409	eval-auc:0.99663
[47]	train-logloss:0.00141	train-auc:0.99995	eval-logloss:0.01412	eval-auc:0.99680
[48]	train-logloss:0.00133	train-auc:0.99995	eval-logloss:0.01422	eval-auc:0.99753
[49]	train-logloss:0.00128	train-auc:0.99995	eval-logloss:0.01426	eval-auc:0.99738
[50]	train-logloss:0.00122	train-auc:0.99995	eval-logloss:0.01426	eval-auc:0.99737
[51]	train-logloss:0.00117	train-auc:0.99995	eval-logloss:0.01432	eval-auc:0.99755
[52]	train-logloss:0.00111	train-auc:0.99995	eval-logloss:0.01435	eval-auc:0.99762
[53]	train-logloss:0.00107	train-auc:0.99995	eval-logloss:0.01436	eval-auc:0.99758
[54]	train-logloss:0.00102	train-auc:0.99995	eval-logloss:0.01447	eval-auc:0.99736
[55]	train-logloss:0.00099	train-auc:0.99995	eval-logloss:0.01451	eval-auc:0.99724
[56]	train-logloss:0.00096	train-auc:0.99995	eval-logloss:0.01446	eval-auc:0.99736
[57]	train-logloss:0.00093	train-auc:0.99995	eval-logloss:0.01457	eval-auc:0.99721
[58]	train-logloss:0.00090	train-auc:0.99995	eval-logloss:0.01468	eval-auc:0.99691
[59]	train-logloss:0.00088	train-auc:0.99995	eval-logloss:0.01469	eval-auc:0.99696
[60]	train-logloss:0.00085	train-auc:0.99996	eval-logloss:0.01473	eval-auc:0.99713
