No overlap between train and test sets.
[0]	train-logloss:0.09595	train-auc:0.71754	eval-logloss:0.11779	eval-auc:0.58803
[1]	train-logloss:0.08741	train-auc:0.83992	eval-logloss:0.12165	eval-auc:0.52511
[2]	train-logloss:0.08180	train-auc:0.88811	eval-logloss:0.12294	eval-auc:0.50806
[3]	train-logloss:0.07791	train-auc:0.91285	eval-logloss:0.12463	eval-auc:0.48427
[4]	train-logloss:0.07571	train-auc:0.92038	eval-logloss:0.12561	eval-auc:0.47502
[5]	train-logloss:0.07417	train-auc:0.92565	eval-logloss:0.12676	eval-auc:0.47555
[6]	train-logloss:0.07099	train-auc:0.94207	eval-logloss:0.12782	eval-auc:0.47040
[7]	train-logloss:0.06997	train-auc:0.94426	eval-logloss:0.12798	eval-auc:0.47269
[8]	train-logloss:0.06805	train-auc:0.94931	eval-logloss:0.12922	eval-auc:0.47960
[9]	train-logloss:0.06566	train-auc:0.95420	eval-logloss:0.12898	eval-auc:0.49019
[10]	train-logloss:0.06370	train-auc:0.95879	eval-logloss:0.12917	eval-auc:0.49832
[11]	train-logloss:0.06163	train-auc:0.96297	eval-logloss:0.12857	eval-auc:0.51599
[12]	train-logloss:0.05910	train-auc:0.96816	eval-logloss:0.12911	eval-auc:0.51001
[13]	train-logloss:0.05853	train-auc:0.96915	eval-logloss:0.12965	eval-auc:0.51319
[14]	train-logloss:0.05720	train-auc:0.97262	eval-logloss:0.13112	eval-auc:0.50054
[15]	train-logloss:0.05625	train-auc:0.97393	eval-logloss:0.13156	eval-auc:0.50340
[16]	train-logloss:0.05503	train-auc:0.97604	eval-logloss:0.13172	eval-auc:0.50491
[17]	train-logloss:0.05273	train-auc:0.97920	eval-logloss:0.13189	eval-auc:0.49501
[18]	train-logloss:0.04976	train-auc:0.98380	eval-logloss:0.13305	eval-auc:0.50008
[19]	train-logloss:0.04745	train-auc:0.98692	eval-logloss:0.13502	eval-auc:0.49436
[20]	train-logloss:0.04615	train-auc:0.98841	eval-logloss:0.13612	eval-auc:0.48858
[21]	train-logloss:0.04528	train-auc:0.98894	eval-logloss:0.13695	eval-auc:0.48634
[22]	train-logloss:0.04432	train-auc:0.98977	eval-logloss:0.13731	eval-auc:0.48792
[23]	train-logloss:0.04340	train-auc:0.99047	eval-logloss:0.13800	eval-auc:0.49003
[24]	train-logloss:0.04192	train-auc:0.99191	eval-logloss:0.13941	eval-auc:0.49090
[25]	train-logloss:0.04022	train-auc:0.99306	eval-logloss:0.14026	eval-auc:0.48968
[26]	train-logloss:0.03964	train-auc:0.99331	eval-logloss:0.14019	eval-auc:0.50079
[27]	train-logloss:0.03927	train-auc:0.99359	eval-logloss:0.13994	eval-auc:0.50436
[28]	train-logloss:0.03818	train-auc:0.99423	eval-logloss:0.14063	eval-auc:0.50752
[29]	train-logloss:0.03651	train-auc:0.99539	eval-logloss:0.14111	eval-auc:0.50856
[30]	train-logloss:0.03542	train-auc:0.99609	eval-logloss:0.14089	eval-auc:0.51473
[31]	train-logloss:0.03461	train-auc:0.99650	eval-logloss:0.14068	eval-auc:0.52139
[32]	train-logloss:0.03309	train-auc:0.99713	eval-logloss:0.14260	eval-auc:0.51663
[33]	train-logloss:0.03217	train-auc:0.99749	eval-logloss:0.14262	eval-auc:0.52060
[34]	train-logloss:0.03082	train-auc:0.99796	eval-logloss:0.14349	eval-auc:0.52090
[35]	train-logloss:0.02945	train-auc:0.99835	eval-logloss:0.14410	eval-auc:0.51897
[36]	train-logloss:0.02926	train-auc:0.99838	eval-logloss:0.14504	eval-auc:0.51658
[37]	train-logloss:0.02819	train-auc:0.99866	eval-logloss:0.14562	eval-auc:0.51601
[38]	train-logloss:0.02713	train-auc:0.99897	eval-logloss:0.14665	eval-auc:0.51179
[39]	train-logloss:0.02666	train-auc:0.99914	eval-logloss:0.14721	eval-auc:0.51084
[40]	train-logloss:0.02554	train-auc:0.99929	eval-logloss:0.14827	eval-auc:0.51092
[41]	train-logloss:0.02479	train-auc:0.99940	eval-logloss:0.14903	eval-auc:0.50968
[42]	train-logloss:0.02410	train-auc:0.99949	eval-logloss:0.14975	eval-auc:0.50925
[43]	train-logloss:0.02345	train-auc:0.99954	eval-logloss:0.15003	eval-auc:0.51240
[44]	train-logloss:0.02288	train-auc:0.99960	eval-logloss:0.15089	eval-auc:0.51030
[45]	train-logloss:0.02207	train-auc:0.99967	eval-logloss:0.15127	eval-auc:0.51125
[46]	train-logloss:0.02143	train-auc:0.99971	eval-logloss:0.15186	eval-auc:0.51241
[47]	train-logloss:0.02121	train-auc:0.99973	eval-logloss:0.15202	eval-auc:0.51211
[48]	train-logloss:0.02088	train-auc:0.99975	eval-logloss:0.15266	eval-auc:0.50979
[49]	train-logloss:0.02061	train-auc:0.99976	eval-logloss:0.15304	eval-auc:0.50955
[50]	train-logloss:0.01990	train-auc:0.99980	eval-logloss:0.15401	eval-auc:0.50840
[51]	train-logloss:0.01956	train-auc:0.99982	eval-logloss:0.15429	eval-auc:0.50865
[52]	train-logloss:0.01903	train-auc:0.99984	eval-logloss:0.15468	eval-auc:0.50735
[53]	train-logloss:0.01863	train-auc:0.99988	eval-logloss:0.15535	eval-auc:0.50524
[54]	train-logloss:0.01803	train-auc:0.99990	eval-logloss:0.15560	eval-auc:0.50793
[55]	train-logloss:0.01781	train-auc:0.99991	eval-logloss:0.15652	eval-auc:0.50801
[56]	train-logloss:0.01718	train-auc:0.99992	eval-logloss:0.15662	eval-auc:0.51010
[57]	train-logloss:0.01679	train-auc:0.99993	eval-logloss:0.15722	eval-auc:0.50796
[58]	train-logloss:0.01637	train-auc:0.99994	eval-logloss:0.15838	eval-auc:0.50856
[59]	train-logloss:0.01595	train-auc:0.99995	eval-logloss:0.15865	eval-auc:0.51009
[60]	train-logloss:0.01532	train-auc:0.99996	eval-logloss:0.15909	eval-auc:0.51207
[61]	train-logloss:0.01490	train-auc:0.99997	eval-logloss:0.15973	eval-auc:0.51180
[62]	train-logloss:0.01447	train-auc:0.99998	eval-logloss:0.16107	eval-auc:0.51042
[63]	train-logloss:0.01398	train-auc:0.99998	eval-logloss:0.16223	eval-auc:0.51023
[64]	train-logloss:0.01348	train-auc:0.99999	eval-logloss:0.16267	eval-auc:0.51067
[65]	train-logloss:0.01320	train-auc:0.99999	eval-logloss:0.16351	eval-auc:0.51049
[66]	train-logloss:0.01289	train-auc:0.99999	eval-logloss:0.16359	eval-auc:0.51232
[67]	train-logloss:0.01274	train-auc:0.99999	eval-logloss:0.16389	eval-auc:0.51437
[68]	train-logloss:0.01238	train-auc:1.00000	eval-logloss:0.16503	eval-auc:0.51300
[69]	train-logloss:0.01196	train-auc:1.00000	eval-logloss:0.16573	eval-auc:0.51550
[70]	train-logloss:0.01164	train-auc:1.00000	eval-logloss:0.16615	eval-auc:0.51660
[71]	train-logloss:0.01138	train-auc:1.00000	eval-logloss:0.16710	eval-auc:0.51639
[72]	train-logloss:0.01084	train-auc:1.00000	eval-logloss:0.16838	eval-auc:0.51599
[73]	train-logloss:0.01050	train-auc:1.00000	eval-logloss:0.16914	eval-auc:0.51535
[74]	train-logloss:0.01022	train-auc:1.00000	eval-logloss:0.16974	eval-auc:0.51606
[75]	train-logloss:0.01001	train-auc:1.00000	eval-logloss:0.17116	eval-auc:0.51340
[76]	train-logloss:0.00989	train-auc:1.00000	eval-logloss:0.17129	eval-auc:0.51502
[77]	train-logloss:0.00960	train-auc:1.00000	eval-logloss:0.17235	eval-auc:0.51234
[78]	train-logloss:0.00933	train-auc:1.00000	eval-logloss:0.17273	eval-auc:0.51388
[79]	train-logloss:0.00892	train-auc:1.00000	eval-logloss:0.17351	eval-auc:0.51553
[80]	train-logloss:0.00865	train-auc:1.00000	eval-logloss:0.17376	eval-auc:0.51559
[81]	train-logloss:0.00837	train-auc:1.00000	eval-logloss:0.17515	eval-auc:0.51454
[82]	train-logloss:0.00813	train-auc:1.00000	eval-logloss:0.17591	eval-auc:0.51460
[83]	train-logloss:0.00805	train-auc:1.00000	eval-logloss:0.17593	eval-auc:0.51604
[84]	train-logloss:0.00785	train-auc:1.00000	eval-logloss:0.17705	eval-auc:0.51405
[85]	train-logloss:0.00771	train-auc:1.00000	eval-logloss:0.17765	eval-auc:0.51380
[86]	train-logloss:0.00746	train-auc:1.00000	eval-logloss:0.17888	eval-auc:0.51377
[87]	train-logloss:0.00737	train-auc:1.00000	eval-logloss:0.17954	eval-auc:0.51326
[88]	train-logloss:0.00723	train-auc:1.00000	eval-logloss:0.18026	eval-auc:0.51218
