No overlap between train and test sets.
[0]	train-logloss:0.09673	train-auc:0.76222	eval-logloss:0.12174	eval-auc:0.46094
[1]	train-logloss:0.08937	train-auc:0.85857	eval-logloss:0.12234	eval-auc:0.51757
[2]	train-logloss:0.08524	train-auc:0.88131	eval-logloss:0.12251	eval-auc:0.54577
[3]	train-logloss:0.08103	train-auc:0.90183	eval-logloss:0.12640	eval-auc:0.55668
[4]	train-logloss:0.07848	train-auc:0.90998	eval-logloss:0.12597	eval-auc:0.56618
[5]	train-logloss:0.07579	train-auc:0.91999	eval-logloss:0.12639	eval-auc:0.56188
[6]	train-logloss:0.07155	train-auc:0.93659	eval-logloss:0.12695	eval-auc:0.57128
[7]	train-logloss:0.06964	train-auc:0.94392	eval-logloss:0.12720	eval-auc:0.56638
[8]	train-logloss:0.06619	train-auc:0.95340	eval-logloss:0.12966	eval-auc:0.55665
[9]	train-logloss:0.06393	train-auc:0.95880	eval-logloss:0.12973	eval-auc:0.55619
[10]	train-logloss:0.06286	train-auc:0.96019	eval-logloss:0.13033	eval-auc:0.55581
[11]	train-logloss:0.05975	train-auc:0.96863	eval-logloss:0.13228	eval-auc:0.55129
[12]	train-logloss:0.05758	train-auc:0.97144	eval-logloss:0.13374	eval-auc:0.54766
[13]	train-logloss:0.05692	train-auc:0.97251	eval-logloss:0.13302	eval-auc:0.55865
[14]	train-logloss:0.05582	train-auc:0.97390	eval-logloss:0.13355	eval-auc:0.55662
[15]	train-logloss:0.05457	train-auc:0.97562	eval-logloss:0.13394	eval-auc:0.55999
[16]	train-logloss:0.05377	train-auc:0.97695	eval-logloss:0.13350	eval-auc:0.56529
[17]	train-logloss:0.05189	train-auc:0.98175	eval-logloss:0.13412	eval-auc:0.56303
[18]	train-logloss:0.04844	train-auc:0.98628	eval-logloss:0.13507	eval-auc:0.55992
[19]	train-logloss:0.04749	train-auc:0.98745	eval-logloss:0.13615	eval-auc:0.55781
[20]	train-logloss:0.04660	train-auc:0.98858	eval-logloss:0.13618	eval-auc:0.55844
[21]	train-logloss:0.04620	train-auc:0.98882	eval-logloss:0.13634	eval-auc:0.56036
[22]	train-logloss:0.04536	train-auc:0.98954	eval-logloss:0.13637	eval-auc:0.56326
[23]	train-logloss:0.04421	train-auc:0.99060	eval-logloss:0.13736	eval-auc:0.56019
[24]	train-logloss:0.04274	train-auc:0.99195	eval-logloss:0.13765	eval-auc:0.56262
