No overlap between train and test sets.
[0]	train-logloss:0.03576	train-auc:0.99796	eval-logloss:0.04051	eval-auc:0.99806
[1]	train-logloss:0.10090	train-auc:0.22012	eval-logloss:0.12363	eval-auc:0.17790
[2]	train-logloss:0.09641	train-auc:0.99688	eval-logloss:0.12003	eval-auc:0.99498
[3]	train-logloss:0.04718	train-auc:0.99412	eval-logloss:0.05629	eval-auc:0.99497
[4]	train-logloss:0.02484	train-auc:0.98971	eval-logloss:0.02943	eval-auc:0.99175
[5]	train-logloss:0.07608	train-auc:0.98842	eval-logloss:0.09419	eval-auc:0.97687
[6]	train-logloss:0.02576	train-auc:0.99412	eval-logloss:0.03132	eval-auc:0.99493
[7]	train-logloss:0.09979	train-auc:0.97977	eval-logloss:0.12381	eval-auc:0.96920
[8]	train-logloss:0.09550	train-auc:0.99844	eval-logloss:0.11217	eval-auc:0.99795
[9]	train-logloss:0.09487	train-auc:0.99513	eval-logloss:0.11186	eval-auc:0.99790
[10]	train-logloss:0.04830	train-auc:0.99056	eval-logloss:0.04522	eval-auc:0.99496
[11]	train-logloss:0.02713	train-auc:0.98216	eval-logloss:0.02278	eval-auc:0.98627
[12]	train-logloss:0.02250	train-auc:0.98266	eval-logloss:0.01930	eval-auc:0.98669
[13]	train-logloss:0.02009	train-auc:0.98556	eval-logloss:0.01728	eval-auc:0.98676
[14]	train-logloss:0.01675	train-auc:0.98724	eval-logloss:0.01534	eval-auc:0.98701
[15]	train-logloss:0.01455	train-auc:0.98751	eval-logloss:0.01424	eval-auc:0.98755
[16]	train-logloss:0.01266	train-auc:0.98932	eval-logloss:0.01405	eval-auc:0.98772
[17]	train-logloss:0.01144	train-auc:0.99065	eval-logloss:0.01390	eval-auc:0.98787
[18]	train-logloss:0.01031	train-auc:0.99082	eval-logloss:0.01354	eval-auc:0.99279
[19]	train-logloss:0.00940	train-auc:0.99089	eval-logloss:0.01332	eval-auc:0.99453
[20]	train-logloss:0.00866	train-auc:0.99102	eval-logloss:0.01317	eval-auc:0.99465
[21]	train-logloss:0.00807	train-auc:0.99112	eval-logloss:0.01318	eval-auc:0.99392
[22]	train-logloss:0.00756	train-auc:0.99139	eval-logloss:0.01304	eval-auc:0.99456
[23]	train-logloss:0.00719	train-auc:0.99295	eval-logloss:0.01268	eval-auc:0.99578
[24]	train-logloss:0.00692	train-auc:0.99416	eval-logloss:0.01260	eval-auc:0.99581
[25]	train-logloss:0.00647	train-auc:0.99459	eval-logloss:0.01258	eval-auc:0.99586
[26]	train-logloss:0.00610	train-auc:0.99576	eval-logloss:0.01270	eval-auc:0.99588
[27]	train-logloss:0.00573	train-auc:0.99638	eval-logloss:0.01266	eval-auc:0.99586
[28]	train-logloss:0.00546	train-auc:0.99649	eval-logloss:0.01256	eval-auc:0.99586
[29]	train-logloss:0.00515	train-auc:0.99657	eval-logloss:0.01269	eval-auc:0.99571
[30]	train-logloss:0.00478	train-auc:0.99669	eval-logloss:0.01244	eval-auc:0.99604
[31]	train-logloss:0.00453	train-auc:0.99688	eval-logloss:0.01241	eval-auc:0.99610
[32]	train-logloss:0.00433	train-auc:0.99772	eval-logloss:0.01269	eval-auc:0.99589
[33]	train-logloss:0.00358	train-auc:0.99869	eval-logloss:0.01259	eval-auc:0.99608
[34]	train-logloss:0.00338	train-auc:0.99954	eval-logloss:0.01253	eval-auc:0.99609
[35]	train-logloss:0.00318	train-auc:0.99973	eval-logloss:0.01261	eval-auc:0.99614
[36]	train-logloss:0.00299	train-auc:0.99982	eval-logloss:0.01271	eval-auc:0.99646
[37]	train-logloss:0.00283	train-auc:0.99987	eval-logloss:0.01262	eval-auc:0.99752
[38]	train-logloss:0.00223	train-auc:0.99988	eval-logloss:0.01269	eval-auc:0.99754
[39]	train-logloss:0.00211	train-auc:0.99990	eval-logloss:0.01269	eval-auc:0.99781
[40]	train-logloss:0.00205	train-auc:0.99991	eval-logloss:0.01271	eval-auc:0.99807
[41]	train-logloss:0.00195	train-auc:0.99993	eval-logloss:0.01270	eval-auc:0.99843
[42]	train-logloss:0.00187	train-auc:0.99993	eval-logloss:0.01279	eval-auc:0.99857
[43]	train-logloss:0.00176	train-auc:0.99994	eval-logloss:0.01271	eval-auc:0.99867
[44]	train-logloss:0.00165	train-auc:0.99994	eval-logloss:0.01289	eval-auc:0.99877
[45]	train-logloss:0.00157	train-auc:0.99994	eval-logloss:0.01300	eval-auc:0.99868
[46]	train-logloss:0.00149	train-auc:0.99995	eval-logloss:0.01293	eval-auc:0.99878
[47]	train-logloss:0.00143	train-auc:0.99995	eval-logloss:0.01286	eval-auc:0.99879
[48]	train-logloss:0.00134	train-auc:0.99995	eval-logloss:0.01295	eval-auc:0.99884
[49]	train-logloss:0.00130	train-auc:0.99995	eval-logloss:0.01298	eval-auc:0.99879
[50]	train-logloss:0.00123	train-auc:0.99995	eval-logloss:0.01301	eval-auc:0.99883
[51]	train-logloss:0.00117	train-auc:0.99995	eval-logloss:0.01296	eval-auc:0.99887
[52]	train-logloss:0.00111	train-auc:0.99995	eval-logloss:0.01301	eval-auc:0.99893
[53]	train-logloss:0.00107	train-auc:0.99995	eval-logloss:0.01311	eval-auc:0.99890
[54]	train-logloss:0.00101	train-auc:0.99995	eval-logloss:0.01326	eval-auc:0.99889
[55]	train-logloss:0.00097	train-auc:0.99995	eval-logloss:0.01335	eval-auc:0.99888
[56]	train-logloss:0.00094	train-auc:0.99995	eval-logloss:0.01348	eval-auc:0.99887
[57]	train-logloss:0.00091	train-auc:0.99995	eval-logloss:0.01351	eval-auc:0.99887
[58]	train-logloss:0.00088	train-auc:0.99996	eval-logloss:0.01359	eval-auc:0.99890
[59]	train-logloss:0.00085	train-auc:0.99996	eval-logloss:0.01363	eval-auc:0.99887
[60]	train-logloss:0.00083	train-auc:0.99996	eval-logloss:0.01363	eval-auc:0.99887
