✅ No overlap between train and test sets.
[0]	train-rmse:109.72866	eval-rmse:123.15768
[1]	train-rmse:100.08964	eval-rmse:129.23033
[2]	train-rmse:90.76206	eval-rmse:136.36075
[3]	train-rmse:84.20715	eval-rmse:140.51437
[4]	train-rmse:81.37296	eval-rmse:143.77090
[5]	train-rmse:78.03822	eval-rmse:144.14769
[6]	train-rmse:75.54367	eval-rmse:146.18637
[7]	train-rmse:73.56276	eval-rmse:147.31757
[8]	train-rmse:71.79022	eval-rmse:148.05393
[9]	train-rmse:70.38867	eval-rmse:148.15405
[10]	train-rmse:69.56787	eval-rmse:148.77996
[11]	train-rmse:68.96109	eval-rmse:151.62012
[12]	train-rmse:68.43289	eval-rmse:151.66961
[13]	train-rmse:66.92194	eval-rmse:152.52880
[14]	train-rmse:65.75300	eval-rmse:152.57580
[15]	train-rmse:65.26318	eval-rmse:152.57749
[16]	train-rmse:64.46949	eval-rmse:152.31610
[17]	train-rmse:63.89340	eval-rmse:152.65315
[18]	train-rmse:62.72487	eval-rmse:152.32137
[19]	train-rmse:62.23624	eval-rmse:152.95003
[20]	train-rmse:61.72129	eval-rmse:153.11694
[21]	train-rmse:61.07256	eval-rmse:153.22364
[22]	train-rmse:60.11834	eval-rmse:153.39917
[23]	train-rmse:59.67415	eval-rmse:153.36558
[24]	train-rmse:59.00729	eval-rmse:153.37956
[25]	train-rmse:57.28925	eval-rmse:153.18920
[26]	train-rmse:56.68237	eval-rmse:153.43100
[27]	train-rmse:56.22424	eval-rmse:153.69547
[28]	train-rmse:54.96381	eval-rmse:153.58772
[29]	train-rmse:54.58385	eval-rmse:153.83678
[30]	train-rmse:54.26571	eval-rmse:153.76949
[31]	train-rmse:53.54309	eval-rmse:154.25513
[32]	train-rmse:53.09423	eval-rmse:154.27842
[33]	train-rmse:52.55314	eval-rmse:154.68496
[34]	train-rmse:52.27138	eval-rmse:154.60368
[35]	train-rmse:51.37639	eval-rmse:155.20049
[36]	train-rmse:50.93645	eval-rmse:155.34309
[37]	train-rmse:50.65167	eval-rmse:155.16953
[38]	train-rmse:50.08065	eval-rmse:155.09225
[39]	train-rmse:49.85178	eval-rmse:155.16725
[40]	train-rmse:49.26327	eval-rmse:155.25692
[41]	train-rmse:48.95941	eval-rmse:155.45711
[42]	train-rmse:48.54685	eval-rmse:155.38101
[43]	train-rmse:48.14480	eval-rmse:155.50685
[44]	train-rmse:47.73816	eval-rmse:155.48602
[45]	train-rmse:47.57223	eval-rmse:155.48897
[46]	train-rmse:47.14082	eval-rmse:155.51057
[47]	train-rmse:46.66113	eval-rmse:155.61102
[48]	train-rmse:46.37458	eval-rmse:155.43608
[49]	train-rmse:45.78422	eval-rmse:155.52406
[50]	train-rmse:45.60253	eval-rmse:155.55263
[51]	train-rmse:45.30887	eval-rmse:155.59174
[52]	train-rmse:44.61640	eval-rmse:155.90571
[53]	train-rmse:44.25704	eval-rmse:155.98115
[54]	train-rmse:43.97435	eval-rmse:156.20442
[55]	train-rmse:43.78557	eval-rmse:156.31776
[56]	train-rmse:43.45006	eval-rmse:156.07036
[57]	train-rmse:43.02906	eval-rmse:156.15637
[58]	train-rmse:42.79111	eval-rmse:156.18273
[59]	train-rmse:42.28940	eval-rmse:155.85850
[60]	train-rmse:41.97941	eval-rmse:155.85474
[61]	train-rmse:41.61677	eval-rmse:156.09687
[62]	train-rmse:40.90985	eval-rmse:156.41184
[63]	train-rmse:40.59086	eval-rmse:156.55531
[64]	train-rmse:40.17469	eval-rmse:156.39186
[65]	train-rmse:40.02777	eval-rmse:156.46161
[66]	train-rmse:39.66864	eval-rmse:156.45874
[67]	train-rmse:39.50576	eval-rmse:156.45156
[68]	train-rmse:39.02298	eval-rmse:156.59099
[69]	train-rmse:38.81987	eval-rmse:156.63688
[70]	train-rmse:38.63962	eval-rmse:156.67030
[71]	train-rmse:38.38240	eval-rmse:156.65967
[72]	train-rmse:37.96680	eval-rmse:157.88145
[73]	train-rmse:37.68863	eval-rmse:158.10406
[74]	train-rmse:37.39700	eval-rmse:158.33223
[75]	train-rmse:37.18463	eval-rmse:158.46634
[76]	train-rmse:36.83139	eval-rmse:158.52065
[77]	train-rmse:36.70003	eval-rmse:158.49929
[78]	train-rmse:36.53095	eval-rmse:158.53101
[79]	train-rmse:36.32393	eval-rmse:158.79578
[80]	train-rmse:36.14661	eval-rmse:158.79640
[81]	train-rmse:35.87889	eval-rmse:158.67253
[82]	train-rmse:35.43437	eval-rmse:158.86164
[83]	train-rmse:35.27966	eval-rmse:158.88131
[84]	train-rmse:35.13649	eval-rmse:158.79708
[85]	train-rmse:34.77993	eval-rmse:158.95885
[86]	train-rmse:34.46027	eval-rmse:159.06870
[87]	train-rmse:34.27529	eval-rmse:159.10189
[88]	train-rmse:34.15486	eval-rmse:159.11477
[89]	train-rmse:34.09647	eval-rmse:159.18961
[90]	train-rmse:33.95295	eval-rmse:159.13158
[91]	train-rmse:33.73437	eval-rmse:159.10675
[92]	train-rmse:33.41098	eval-rmse:159.20810
[93]	train-rmse:33.32527	eval-rmse:159.31201
[94]	train-rmse:33.20735	eval-rmse:159.28473
[95]	train-rmse:33.02704	eval-rmse:159.27286
[96]	train-rmse:32.77466	eval-rmse:159.21747
[97]	train-rmse:32.62343	eval-rmse:159.16017
[98]	train-rmse:32.42138	eval-rmse:159.39020
[99]	train-rmse:32.15042	eval-rmse:159.51789
[100]	train-rmse:31.73751	eval-rmse:159.68594
[101]	train-rmse:31.50887	eval-rmse:159.70711
[102]	train-rmse:31.37480	eval-rmse:159.82194
[103]	train-rmse:31.16900	eval-rmse:159.88844
[104]	train-rmse:31.06912	eval-rmse:159.83733
[105]	train-rmse:30.86219	eval-rmse:159.87486
[106]	train-rmse:30.66876	eval-rmse:160.11286
[107]	train-rmse:30.60111	eval-rmse:160.17902
[108]	train-rmse:30.42064	eval-rmse:159.98582
[109]	train-rmse:30.34218	eval-rmse:159.99889
[110]	train-rmse:30.29735	eval-rmse:160.01916
[111]	train-rmse:30.20606	eval-rmse:160.03522
[112]	train-rmse:30.06398	eval-rmse:159.98728
[113]	train-rmse:29.82640	eval-rmse:160.00429
[114]	train-rmse:29.71222	eval-rmse:159.98354
[115]	train-rmse:29.50187	eval-rmse:160.06111
[116]	train-rmse:29.32269	eval-rmse:160.21675
[117]	train-rmse:29.12804	eval-rmse:160.15764
[118]	train-rmse:29.02856	eval-rmse:160.23843
[119]	train-rmse:28.62164	eval-rmse:160.13633
[120]	train-rmse:28.45779	eval-rmse:159.99225
[121]	train-rmse:28.37064	eval-rmse:159.98637
[122]	train-rmse:28.19485	eval-rmse:160.07020
[123]	train-rmse:28.08004	eval-rmse:160.06135
[124]	train-rmse:27.85381	eval-rmse:160.12628
[125]	train-rmse:27.75253	eval-rmse:160.14996
[126]	train-rmse:27.64991	eval-rmse:160.15013
[127]	train-rmse:27.58301	eval-rmse:160.14633
[128]	train-rmse:27.40962	eval-rmse:160.12632
[129]	train-rmse:27.28498	eval-rmse:160.28519
[130]	train-rmse:27.18532	eval-rmse:160.27495
[131]	train-rmse:27.10341	eval-rmse:160.31839
[132]	train-rmse:26.85490	eval-rmse:160.24185
[133]	train-rmse:26.77086	eval-rmse:160.30750
[134]	train-rmse:26.63514	eval-rmse:160.37552
[135]	train-rmse:26.42434	eval-rmse:160.34620
[136]	train-rmse:26.35792	eval-rmse:160.32285
[137]	train-rmse:26.15795	eval-rmse:160.01111
[138]	train-rmse:25.97093	eval-rmse:160.02309
[139]	train-rmse:25.88135	eval-rmse:159.96795
[140]	train-rmse:25.80282	eval-rmse:159.92201
[141]	train-rmse:25.66400	eval-rmse:159.86140
[142]	train-rmse:25.44386	eval-rmse:159.76216
[143]	train-rmse:25.34483	eval-rmse:159.76979
[144]	train-rmse:25.24871	eval-rmse:159.62664
[145]	train-rmse:25.06687	eval-rmse:159.48756
[146]	train-rmse:24.85622	eval-rmse:159.45259
[147]	train-rmse:24.73715	eval-rmse:159.44621
[148]	train-rmse:24.61713	eval-rmse:159.44629
[149]	train-rmse:24.42988	eval-rmse:159.53871
[150]	train-rmse:24.24563	eval-rmse:159.59622
[151]	train-rmse:24.14098	eval-rmse:159.54514
[152]	train-rmse:23.96528	eval-rmse:159.50475
[153]	train-rmse:23.89317	eval-rmse:159.46564
[154]	train-rmse:23.74788	eval-rmse:159.44394
[155]	train-rmse:23.64363	eval-rmse:159.54372
[156]	train-rmse:23.58713	eval-rmse:159.52533
[157]	train-rmse:23.53700	eval-rmse:159.49338
[158]	train-rmse:23.51275	eval-rmse:159.50899
[159]	train-rmse:23.39938	eval-rmse:159.46424
[160]	train-rmse:23.32945	eval-rmse:159.40300
[161]	train-rmse:23.18779	eval-rmse:159.48802
[162]	train-rmse:23.08295	eval-rmse:159.49647
[163]	train-rmse:22.94481	eval-rmse:159.45176
[164]	train-rmse:22.87901	eval-rmse:159.46817
[165]	train-rmse:22.73428	eval-rmse:159.46188
[166]	train-rmse:22.60449	eval-rmse:159.43350
[167]	train-rmse:22.54442	eval-rmse:159.44192
[168]	train-rmse:22.42503	eval-rmse:159.46069
[169]	train-rmse:22.35259	eval-rmse:159.46210
[170]	train-rmse:22.24754	eval-rmse:159.48789
[171]	train-rmse:22.12002	eval-rmse:159.50168
[172]	train-rmse:21.93136	eval-rmse:159.64286
[173]	train-rmse:21.83433	eval-rmse:159.62744
[174]	train-rmse:21.76969	eval-rmse:159.62776
[175]	train-rmse:21.61974	eval-rmse:159.65224
[176]	train-rmse:21.44911	eval-rmse:159.61849
[177]	train-rmse:21.33222	eval-rmse:159.63553
[178]	train-rmse:21.25624	eval-rmse:159.65762
[179]	train-rmse:21.11804	eval-rmse:159.67285
[180]	train-rmse:21.07450	eval-rmse:159.69200
[181]	train-rmse:20.98642	eval-rmse:159.67586
[182]	train-rmse:20.88127	eval-rmse:159.71207
[183]	train-rmse:20.72551	eval-rmse:159.68764
