No overlap between train and test sets.
[0]	train-logloss:0.09561	train-auc:0.77071	eval-logloss:0.12026	eval-auc:0.54855
[1]	train-logloss:0.08874	train-auc:0.85983	eval-logloss:0.12157	eval-auc:0.55220
[2]	train-logloss:0.08313	train-auc:0.88506	eval-logloss:0.12368	eval-auc:0.53378
[3]	train-logloss:0.08099	train-auc:0.89502	eval-logloss:0.12406	eval-auc:0.53840
[4]	train-logloss:0.07784	train-auc:0.90863	eval-logloss:0.12432	eval-auc:0.54709
[5]	train-logloss:0.07486	train-auc:0.91791	eval-logloss:0.12445	eval-auc:0.55409
[6]	train-logloss:0.07310	train-auc:0.92405	eval-logloss:0.12544	eval-auc:0.54922
[7]	train-logloss:0.07212	train-auc:0.92676	eval-logloss:0.12600	eval-auc:0.55048
[8]	train-logloss:0.07126	train-auc:0.93042	eval-logloss:0.12582	eval-auc:0.55416
[9]	train-logloss:0.06899	train-auc:0.93663	eval-logloss:0.12641	eval-auc:0.55738
[10]	train-logloss:0.06624	train-auc:0.94312	eval-logloss:0.12694	eval-auc:0.55501
[11]	train-logloss:0.06566	train-auc:0.94449	eval-logloss:0.12720	eval-auc:0.55365
[12]	train-logloss:0.06217	train-auc:0.95310	eval-logloss:0.12880	eval-auc:0.54480
[13]	train-logloss:0.06091	train-auc:0.95607	eval-logloss:0.12875	eval-auc:0.54779
[14]	train-logloss:0.05950	train-auc:0.95853	eval-logloss:0.12914	eval-auc:0.54428
[15]	train-logloss:0.05890	train-auc:0.95974	eval-logloss:0.12942	eval-auc:0.54457
[16]	train-logloss:0.05725	train-auc:0.96243	eval-logloss:0.12993	eval-auc:0.54576
[17]	train-logloss:0.05649	train-auc:0.96418	eval-logloss:0.13024	eval-auc:0.55075
[18]	train-logloss:0.05425	train-auc:0.96839	eval-logloss:0.13228	eval-auc:0.54159
[19]	train-logloss:0.05303	train-auc:0.97117	eval-logloss:0.13273	eval-auc:0.54060
[20]	train-logloss:0.05227	train-auc:0.97290	eval-logloss:0.13311	eval-auc:0.54120
[21]	train-logloss:0.05170	train-auc:0.97336	eval-logloss:0.13344	eval-auc:0.54523
[22]	train-logloss:0.05064	train-auc:0.97421	eval-logloss:0.13389	eval-auc:0.54693
[23]	train-logloss:0.04968	train-auc:0.97538	eval-logloss:0.13473	eval-auc:0.54085
[24]	train-logloss:0.04896	train-auc:0.97621	eval-logloss:0.13550	eval-auc:0.53761
[25]	train-logloss:0.04815	train-auc:0.97700	eval-logloss:0.13741	eval-auc:0.52359
[26]	train-logloss:0.04747	train-auc:0.97806	eval-logloss:0.13734	eval-auc:0.52833
[27]	train-logloss:0.04664	train-auc:0.97960	eval-logloss:0.13776	eval-auc:0.52932
[28]	train-logloss:0.04591	train-auc:0.98054	eval-logloss:0.13846	eval-auc:0.52643
[29]	train-logloss:0.04508	train-auc:0.98176	eval-logloss:0.13827	eval-auc:0.53302
[30]	train-logloss:0.04464	train-auc:0.98221	eval-logloss:0.13886	eval-auc:0.53036
[31]	train-logloss:0.04400	train-auc:0.98278	eval-logloss:0.13913	eval-auc:0.52893
[32]	train-logloss:0.04362	train-auc:0.98302	eval-logloss:0.14009	eval-auc:0.52318
[33]	train-logloss:0.04267	train-auc:0.98404	eval-logloss:0.14073	eval-auc:0.52035
[34]	train-logloss:0.04161	train-auc:0.98473	eval-logloss:0.14167	eval-auc:0.51777
[35]	train-logloss:0.04055	train-auc:0.98538	eval-logloss:0.14118	eval-auc:0.52321
[36]	train-logloss:0.03927	train-auc:0.98667	eval-logloss:0.14194	eval-auc:0.52335
[37]	train-logloss:0.03850	train-auc:0.98729	eval-logloss:0.14286	eval-auc:0.52162
[38]	train-logloss:0.03784	train-auc:0.98752	eval-logloss:0.14291	eval-auc:0.52368
[39]	train-logloss:0.03738	train-auc:0.98774	eval-logloss:0.14389	eval-auc:0.51978
[40]	train-logloss:0.03666	train-auc:0.98832	eval-logloss:0.14492	eval-auc:0.52086
[41]	train-logloss:0.03606	train-auc:0.98907	eval-logloss:0.14492	eval-auc:0.52303
[42]	train-logloss:0.03590	train-auc:0.98916	eval-logloss:0.14533	eval-auc:0.52261
[43]	train-logloss:0.03553	train-auc:0.98956	eval-logloss:0.14559	eval-auc:0.52658
[44]	train-logloss:0.03512	train-auc:0.98983	eval-logloss:0.14619	eval-auc:0.52522
[45]	train-logloss:0.03492	train-auc:0.98998	eval-logloss:0.14618	eval-auc:0.52573
[46]	train-logloss:0.03471	train-auc:0.99015	eval-logloss:0.14632	eval-auc:0.52703
[47]	train-logloss:0.03394	train-auc:0.99033	eval-logloss:0.14637	eval-auc:0.52815
[48]	train-logloss:0.03366	train-auc:0.99031	eval-logloss:0.14663	eval-auc:0.52882
[49]	train-logloss:0.03331	train-auc:0.99043	eval-logloss:0.14714	eval-auc:0.52819
[50]	train-logloss:0.03238	train-auc:0.99116	eval-logloss:0.14821	eval-auc:0.52528
[51]	train-logloss:0.03173	train-auc:0.99149	eval-logloss:0.14874	eval-auc:0.52429
[52]	train-logloss:0.03106	train-auc:0.99184	eval-logloss:0.14950	eval-auc:0.52624
[53]	train-logloss:0.03044	train-auc:0.99234	eval-logloss:0.14992	eval-auc:0.52530
[54]	train-logloss:0.02961	train-auc:0.99309	eval-logloss:0.15012	eval-auc:0.52788
[55]	train-logloss:0.02907	train-auc:0.99334	eval-logloss:0.15052	eval-auc:0.52933
[56]	train-logloss:0.02843	train-auc:0.99389	eval-logloss:0.15147	eval-auc:0.52754
[57]	train-logloss:0.02805	train-auc:0.99409	eval-logloss:0.15188	eval-auc:0.52775
[58]	train-logloss:0.02773	train-auc:0.99430	eval-logloss:0.15233	eval-auc:0.52921
[59]	train-logloss:0.02707	train-auc:0.99451	eval-logloss:0.15257	eval-auc:0.53057
[60]	train-logloss:0.02688	train-auc:0.99452	eval-logloss:0.15301	eval-auc:0.53002
[61]	train-logloss:0.02633	train-auc:0.99503	eval-logloss:0.15339	eval-auc:0.53093
[62]	train-logloss:0.02583	train-auc:0.99518	eval-logloss:0.15421	eval-auc:0.53077
[63]	train-logloss:0.02542	train-auc:0.99535	eval-logloss:0.15512	eval-auc:0.52914
[64]	train-logloss:0.02470	train-auc:0.99562	eval-logloss:0.15628	eval-auc:0.52723
[65]	train-logloss:0.02460	train-auc:0.99563	eval-logloss:0.15734	eval-auc:0.52454
[66]	train-logloss:0.02438	train-auc:0.99568	eval-logloss:0.15756	eval-auc:0.52474
[67]	train-logloss:0.02421	train-auc:0.99571	eval-logloss:0.15769	eval-auc:0.52642
[68]	train-logloss:0.02387	train-auc:0.99581	eval-logloss:0.15871	eval-auc:0.52691
[69]	train-logloss:0.02341	train-auc:0.99600	eval-logloss:0.15949	eval-auc:0.52530
[70]	train-logloss:0.02317	train-auc:0.99605	eval-logloss:0.15924	eval-auc:0.52881
[71]	train-logloss:0.02275	train-auc:0.99641	eval-logloss:0.15965	eval-auc:0.52915
[72]	train-logloss:0.02225	train-auc:0.99658	eval-logloss:0.15996	eval-auc:0.53192
[73]	train-logloss:0.02206	train-auc:0.99667	eval-logloss:0.16077	eval-auc:0.53156
[74]	train-logloss:0.02149	train-auc:0.99695	eval-logloss:0.16129	eval-auc:0.53250
[75]	train-logloss:0.02129	train-auc:0.99708	eval-logloss:0.16159	eval-auc:0.53468
[76]	train-logloss:0.02109	train-auc:0.99715	eval-logloss:0.16155	eval-auc:0.53576
[77]	train-logloss:0.02074	train-auc:0.99733	eval-logloss:0.16199	eval-auc:0.53493
[78]	train-logloss:0.02019	train-auc:0.99747	eval-logloss:0.16303	eval-auc:0.53464
[79]	train-logloss:0.01980	train-auc:0.99757	eval-logloss:0.16379	eval-auc:0.53496
[80]	train-logloss:0.01965	train-auc:0.99761	eval-logloss:0.16441	eval-auc:0.53516
[81]	train-logloss:0.01923	train-auc:0.99773	eval-logloss:0.16530	eval-auc:0.53549
[82]	train-logloss:0.01898	train-auc:0.99777	eval-logloss:0.16592	eval-auc:0.53520
[83]	train-logloss:0.01872	train-auc:0.99790	eval-logloss:0.16622	eval-auc:0.53549
