No overlap between train and test sets.
[0]	train-logloss:0.09592	train-auc:0.75589	eval-logloss:0.12100	eval-auc:0.45407
[1]	train-logloss:0.08873	train-auc:0.84887	eval-logloss:0.12199	eval-auc:0.49483
[2]	train-logloss:0.08342	train-auc:0.88696	eval-logloss:0.12340	eval-auc:0.51891
[3]	train-logloss:0.08055	train-auc:0.90090	eval-logloss:0.12382	eval-auc:0.52368
[4]	train-logloss:0.07665	train-auc:0.91459	eval-logloss:0.12490	eval-auc:0.52654
[5]	train-logloss:0.07439	train-auc:0.92364	eval-logloss:0.12530	eval-auc:0.53149
[6]	train-logloss:0.07075	train-auc:0.93934	eval-logloss:0.12682	eval-auc:0.53060
[7]	train-logloss:0.06918	train-auc:0.94360	eval-logloss:0.12823	eval-auc:0.54868
[8]	train-logloss:0.06607	train-auc:0.95299	eval-logloss:0.12931	eval-auc:0.54507
[9]	train-logloss:0.06467	train-auc:0.95787	eval-logloss:0.12869	eval-auc:0.55175
[10]	train-logloss:0.06352	train-auc:0.96057	eval-logloss:0.12943	eval-auc:0.54818
[11]	train-logloss:0.06238	train-auc:0.96303	eval-logloss:0.12962	eval-auc:0.54914
[12]	train-logloss:0.06153	train-auc:0.96509	eval-logloss:0.12953	eval-auc:0.56029
[13]	train-logloss:0.05911	train-auc:0.96876	eval-logloss:0.13068	eval-auc:0.56448
[14]	train-logloss:0.05784	train-auc:0.97031	eval-logloss:0.13016	eval-auc:0.56977
[15]	train-logloss:0.05645	train-auc:0.97348	eval-logloss:0.13052	eval-auc:0.57185
[16]	train-logloss:0.05587	train-auc:0.97432	eval-logloss:0.13108	eval-auc:0.57550
[17]	train-logloss:0.05419	train-auc:0.97707	eval-logloss:0.13199	eval-auc:0.57285
[18]	train-logloss:0.05315	train-auc:0.97862	eval-logloss:0.13308	eval-auc:0.57353
[19]	train-logloss:0.05244	train-auc:0.97966	eval-logloss:0.13354	eval-auc:0.57632
[20]	train-logloss:0.05079	train-auc:0.98223	eval-logloss:0.13390	eval-auc:0.57528
[21]	train-logloss:0.04934	train-auc:0.98394	eval-logloss:0.13442	eval-auc:0.58033
[22]	train-logloss:0.04840	train-auc:0.98487	eval-logloss:0.13469	eval-auc:0.58060
[23]	train-logloss:0.04627	train-auc:0.98700	eval-logloss:0.13694	eval-auc:0.57369
[24]	train-logloss:0.04546	train-auc:0.98778	eval-logloss:0.13716	eval-auc:0.57378
[25]	train-logloss:0.04463	train-auc:0.98874	eval-logloss:0.13723	eval-auc:0.57279
[26]	train-logloss:0.04290	train-auc:0.99006	eval-logloss:0.13829	eval-auc:0.57306
[27]	train-logloss:0.04094	train-auc:0.99149	eval-logloss:0.13932	eval-auc:0.57205
[28]	train-logloss:0.04054	train-auc:0.99166	eval-logloss:0.13932	eval-auc:0.57867
[29]	train-logloss:0.03944	train-auc:0.99237	eval-logloss:0.14018	eval-auc:0.57917
[30]	train-logloss:0.03873	train-auc:0.99280	eval-logloss:0.14052	eval-auc:0.57715
[31]	train-logloss:0.03798	train-auc:0.99332	eval-logloss:0.14106	eval-auc:0.57390
[32]	train-logloss:0.03766	train-auc:0.99353	eval-logloss:0.14191	eval-auc:0.57242
[33]	train-logloss:0.03712	train-auc:0.99374	eval-logloss:0.14228	eval-auc:0.57139
[34]	train-logloss:0.03638	train-auc:0.99413	eval-logloss:0.14199	eval-auc:0.57511
[35]	train-logloss:0.03602	train-auc:0.99425	eval-logloss:0.14283	eval-auc:0.57429
[36]	train-logloss:0.03569	train-auc:0.99443	eval-logloss:0.14303	eval-auc:0.57505
[37]	train-logloss:0.03508	train-auc:0.99469	eval-logloss:0.14321	eval-auc:0.57854
[38]	train-logloss:0.03373	train-auc:0.99526	eval-logloss:0.14383	eval-auc:0.57919
[39]	train-logloss:0.03317	train-auc:0.99544	eval-logloss:0.14408	eval-auc:0.57874
[40]	train-logloss:0.03277	train-auc:0.99554	eval-logloss:0.14425	eval-auc:0.58011
[41]	train-logloss:0.03203	train-auc:0.99597	eval-logloss:0.14371	eval-auc:0.58539
[42]	train-logloss:0.03093	train-auc:0.99636	eval-logloss:0.14460	eval-auc:0.58475
[43]	train-logloss:0.03066	train-auc:0.99646	eval-logloss:0.14570	eval-auc:0.58224
[44]	train-logloss:0.02982	train-auc:0.99671	eval-logloss:0.14634	eval-auc:0.58024
[45]	train-logloss:0.02939	train-auc:0.99679	eval-logloss:0.14633	eval-auc:0.58184
[46]	train-logloss:0.02926	train-auc:0.99682	eval-logloss:0.14646	eval-auc:0.58267
[47]	train-logloss:0.02907	train-auc:0.99689	eval-logloss:0.14672	eval-auc:0.58451
[48]	train-logloss:0.02862	train-auc:0.99706	eval-logloss:0.14699	eval-auc:0.58361
[49]	train-logloss:0.02804	train-auc:0.99738	eval-logloss:0.14778	eval-auc:0.58040
[50]	train-logloss:0.02731	train-auc:0.99755	eval-logloss:0.14770	eval-auc:0.58251
[51]	train-logloss:0.02670	train-auc:0.99775	eval-logloss:0.14853	eval-auc:0.58349
[52]	train-logloss:0.02619	train-auc:0.99798	eval-logloss:0.14873	eval-auc:0.58348
[53]	train-logloss:0.02581	train-auc:0.99802	eval-logloss:0.14932	eval-auc:0.58198
[54]	train-logloss:0.02519	train-auc:0.99815	eval-logloss:0.15013	eval-auc:0.57974
[55]	train-logloss:0.02500	train-auc:0.99819	eval-logloss:0.15044	eval-auc:0.58026
[56]	train-logloss:0.02438	train-auc:0.99826	eval-logloss:0.15090	eval-auc:0.58135
[57]	train-logloss:0.02400	train-auc:0.99838	eval-logloss:0.15079	eval-auc:0.58329
[58]	train-logloss:0.02343	train-auc:0.99848	eval-logloss:0.15168	eval-auc:0.58450
[59]	train-logloss:0.02290	train-auc:0.99861	eval-logloss:0.15210	eval-auc:0.58617
[60]	train-logloss:0.02257	train-auc:0.99865	eval-logloss:0.15252	eval-auc:0.58557
[61]	train-logloss:0.02228	train-auc:0.99866	eval-logloss:0.15286	eval-auc:0.58536
[62]	train-logloss:0.02182	train-auc:0.99870	eval-logloss:0.15365	eval-auc:0.58470
[63]	train-logloss:0.02171	train-auc:0.99872	eval-logloss:0.15416	eval-auc:0.58390
[64]	train-logloss:0.02145	train-auc:0.99875	eval-logloss:0.15466	eval-auc:0.58580
[65]	train-logloss:0.02096	train-auc:0.99889	eval-logloss:0.15480	eval-auc:0.58563
[66]	train-logloss:0.02059	train-auc:0.99893	eval-logloss:0.15512	eval-auc:0.58611
[67]	train-logloss:0.02047	train-auc:0.99894	eval-logloss:0.15565	eval-auc:0.58512
[68]	train-logloss:0.02023	train-auc:0.99895	eval-logloss:0.15608	eval-auc:0.58565
[69]	train-logloss:0.01986	train-auc:0.99903	eval-logloss:0.15725	eval-auc:0.58192
[70]	train-logloss:0.01946	train-auc:0.99917	eval-logloss:0.15715	eval-auc:0.58621
[71]	train-logloss:0.01899	train-auc:0.99932	eval-logloss:0.15764	eval-auc:0.58558
[72]	train-logloss:0.01853	train-auc:0.99939	eval-logloss:0.15800	eval-auc:0.58427
[73]	train-logloss:0.01829	train-auc:0.99942	eval-logloss:0.15814	eval-auc:0.58482
[74]	train-logloss:0.01778	train-auc:0.99946	eval-logloss:0.15914	eval-auc:0.58733
[75]	train-logloss:0.01725	train-auc:0.99951	eval-logloss:0.15968	eval-auc:0.58656
[76]	train-logloss:0.01694	train-auc:0.99955	eval-logloss:0.15967	eval-auc:0.58808
[77]	train-logloss:0.01651	train-auc:0.99958	eval-logloss:0.15997	eval-auc:0.58822
[78]	train-logloss:0.01627	train-auc:0.99960	eval-logloss:0.16044	eval-auc:0.58895
[79]	train-logloss:0.01611	train-auc:0.99962	eval-logloss:0.16084	eval-auc:0.58815
[80]	train-logloss:0.01574	train-auc:0.99965	eval-logloss:0.16142	eval-auc:0.58704
[81]	train-logloss:0.01558	train-auc:0.99966	eval-logloss:0.16204	eval-auc:0.58674
[82]	train-logloss:0.01545	train-auc:0.99967	eval-logloss:0.16231	eval-auc:0.58824
[83]	train-logloss:0.01501	train-auc:0.99972	eval-logloss:0.16282	eval-auc:0.58933
[84]	train-logloss:0.01471	train-auc:0.99975	eval-logloss:0.16344	eval-auc:0.58990
[85]	train-logloss:0.01464	train-auc:0.99976	eval-logloss:0.16353	eval-auc:0.59181
[86]	train-logloss:0.01434	train-auc:0.99978	eval-logloss:0.16342	eval-auc:0.59311
[87]	train-logloss:0.01425	train-auc:0.99979	eval-logloss:0.16358	eval-auc:0.59437
[88]	train-logloss:0.01417	train-auc:0.99979	eval-logloss:0.16405	eval-auc:0.59368
[89]	train-logloss:0.01391	train-auc:0.99981	eval-logloss:0.16422	eval-auc:0.59417
[90]	train-logloss:0.01357	train-auc:0.99982	eval-logloss:0.16459	eval-auc:0.59844
