No overlap between train and test sets.
[0]	train-logloss:0.08550	train-auc:0.78404	eval-logloss:0.10420	eval-auc:0.57698
[1]	train-logloss:0.08024	train-auc:0.85856	eval-logloss:0.10459	eval-auc:0.60999
[2]	train-logloss:0.07413	train-auc:0.89743	eval-logloss:0.10533	eval-auc:0.60373
[3]	train-logloss:0.07128	train-auc:0.91116	eval-logloss:0.10567	eval-auc:0.59881
[4]	train-logloss:0.06865	train-auc:0.92993	eval-logloss:0.10521	eval-auc:0.61187
[5]	train-logloss:0.06642	train-auc:0.93566	eval-logloss:0.10576	eval-auc:0.62003
[6]	train-logloss:0.06382	train-auc:0.94338	eval-logloss:0.10787	eval-auc:0.60758
[7]	train-logloss:0.06080	train-auc:0.95264	eval-logloss:0.10926	eval-auc:0.59859
[8]	train-logloss:0.05801	train-auc:0.96055	eval-logloss:0.11005	eval-auc:0.60283
[9]	train-logloss:0.05643	train-auc:0.96426	eval-logloss:0.11160	eval-auc:0.59832
[10]	train-logloss:0.05443	train-auc:0.96908	eval-logloss:0.11396	eval-auc:0.59335
[11]	train-logloss:0.05335	train-auc:0.97193	eval-logloss:0.11399	eval-auc:0.59717
[12]	train-logloss:0.05243	train-auc:0.97407	eval-logloss:0.11435	eval-auc:0.60126
[13]	train-logloss:0.05101	train-auc:0.97702	eval-logloss:0.11461	eval-auc:0.60330
[14]	train-logloss:0.04836	train-auc:0.98195	eval-logloss:0.11632	eval-auc:0.59687
[15]	train-logloss:0.04685	train-auc:0.98372	eval-logloss:0.11751	eval-auc:0.59491
[16]	train-logloss:0.04591	train-auc:0.98503	eval-logloss:0.11769	eval-auc:0.60031
[17]	train-logloss:0.04307	train-auc:0.98893	eval-logloss:0.11859	eval-auc:0.60323
[18]	train-logloss:0.04111	train-auc:0.99039	eval-logloss:0.12068	eval-auc:0.60423
[19]	train-logloss:0.03989	train-auc:0.99152	eval-logloss:0.12070	eval-auc:0.60862
[20]	train-logloss:0.03885	train-auc:0.99218	eval-logloss:0.12098	eval-auc:0.60836
[21]	train-logloss:0.03801	train-auc:0.99288	eval-logloss:0.12156	eval-auc:0.60527
[22]	train-logloss:0.03716	train-auc:0.99336	eval-logloss:0.12157	eval-auc:0.60649
[23]	train-logloss:0.03637	train-auc:0.99390	eval-logloss:0.12250	eval-auc:0.60203
[24]	train-logloss:0.03570	train-auc:0.99421	eval-logloss:0.12278	eval-auc:0.60330
[25]	train-logloss:0.03425	train-auc:0.99512	eval-logloss:0.12339	eval-auc:0.59753
[26]	train-logloss:0.03330	train-auc:0.99574	eval-logloss:0.12426	eval-auc:0.60055
[27]	train-logloss:0.03228	train-auc:0.99612	eval-logloss:0.12469	eval-auc:0.59991
[28]	train-logloss:0.03182	train-auc:0.99623	eval-logloss:0.12500	eval-auc:0.60148
[29]	train-logloss:0.03146	train-auc:0.99636	eval-logloss:0.12503	eval-auc:0.60656
[30]	train-logloss:0.03044	train-auc:0.99693	eval-logloss:0.12542	eval-auc:0.60348
[31]	train-logloss:0.02940	train-auc:0.99732	eval-logloss:0.12569	eval-auc:0.60922
[32]	train-logloss:0.02812	train-auc:0.99773	eval-logloss:0.12571	eval-auc:0.61018
[33]	train-logloss:0.02735	train-auc:0.99797	eval-logloss:0.12594	eval-auc:0.60989
[34]	train-logloss:0.02641	train-auc:0.99819	eval-logloss:0.12600	eval-auc:0.61542
