No overlap between train and test sets.
[0]	train-logloss:0.08554	train-auc:0.78258	eval-logloss:0.10339	eval-auc:0.61152
[1]	train-logloss:0.07923	train-auc:0.86961	eval-logloss:0.10351	eval-auc:0.64642
[2]	train-logloss:0.07397	train-auc:0.90484	eval-logloss:0.10353	eval-auc:0.64876
[3]	train-logloss:0.07009	train-auc:0.92952	eval-logloss:0.10480	eval-auc:0.63007
[4]	train-logloss:0.06753	train-auc:0.93962	eval-logloss:0.10518	eval-auc:0.63074
[5]	train-logloss:0.06445	train-auc:0.94940	eval-logloss:0.10508	eval-auc:0.64153
[6]	train-logloss:0.06241	train-auc:0.95410	eval-logloss:0.10576	eval-auc:0.63939
[7]	train-logloss:0.05897	train-auc:0.96432	eval-logloss:0.10564	eval-auc:0.64753
[8]	train-logloss:0.05479	train-auc:0.97230	eval-logloss:0.10722	eval-auc:0.64377
[9]	train-logloss:0.05236	train-auc:0.97688	eval-logloss:0.10870	eval-auc:0.64016
[10]	train-logloss:0.05064	train-auc:0.97980	eval-logloss:0.10869	eval-auc:0.64618
[11]	train-logloss:0.04841	train-auc:0.98323	eval-logloss:0.10857	eval-auc:0.65847
[12]	train-logloss:0.04743	train-auc:0.98452	eval-logloss:0.10867	eval-auc:0.66052
[13]	train-logloss:0.04642	train-auc:0.98602	eval-logloss:0.10874	eval-auc:0.66144
[14]	train-logloss:0.04509	train-auc:0.98745	eval-logloss:0.10929	eval-auc:0.66034
[15]	train-logloss:0.04301	train-auc:0.98934	eval-logloss:0.11016	eval-auc:0.65527
[16]	train-logloss:0.04254	train-auc:0.98967	eval-logloss:0.11052	eval-auc:0.65704
[17]	train-logloss:0.04076	train-auc:0.99113	eval-logloss:0.11089	eval-auc:0.65582
[18]	train-logloss:0.03953	train-auc:0.99194	eval-logloss:0.11168	eval-auc:0.65229
[19]	train-logloss:0.03851	train-auc:0.99278	eval-logloss:0.11105	eval-auc:0.66142
[20]	train-logloss:0.03738	train-auc:0.99358	eval-logloss:0.11081	eval-auc:0.66748
[21]	train-logloss:0.03619	train-auc:0.99418	eval-logloss:0.11118	eval-auc:0.66714
[22]	train-logloss:0.03516	train-auc:0.99511	eval-logloss:0.11173	eval-auc:0.66459
