No overlap between train and test sets.
[0]	train-logloss:0.09549	train-auc:0.76834	eval-logloss:0.12013	eval-auc:0.49175
[1]	train-logloss:0.08901	train-auc:0.85903	eval-logloss:0.12020	eval-auc:0.54501
[2]	train-logloss:0.08462	train-auc:0.88637	eval-logloss:0.11973	eval-auc:0.56928
[3]	train-logloss:0.08142	train-auc:0.89495	eval-logloss:0.11993	eval-auc:0.57529
[4]	train-logloss:0.07906	train-auc:0.90761	eval-logloss:0.12090	eval-auc:0.57588
[5]	train-logloss:0.07497	train-auc:0.91943	eval-logloss:0.12204	eval-auc:0.58790
[6]	train-logloss:0.07208	train-auc:0.92946	eval-logloss:0.12352	eval-auc:0.58819
[7]	train-logloss:0.06871	train-auc:0.94118	eval-logloss:0.12465	eval-auc:0.58753
[8]	train-logloss:0.06723	train-auc:0.94760	eval-logloss:0.12473	eval-auc:0.59440
[9]	train-logloss:0.06631	train-auc:0.94989	eval-logloss:0.12456	eval-auc:0.59600
[10]	train-logloss:0.06348	train-auc:0.95562	eval-logloss:0.12534	eval-auc:0.59851
[11]	train-logloss:0.06059	train-auc:0.96335	eval-logloss:0.12723	eval-auc:0.59495
[12]	train-logloss:0.05934	train-auc:0.96522	eval-logloss:0.13030	eval-auc:0.59500
[13]	train-logloss:0.05828	train-auc:0.96813	eval-logloss:0.13054	eval-auc:0.59835
[14]	train-logloss:0.05672	train-auc:0.97083	eval-logloss:0.13133	eval-auc:0.59206
[15]	train-logloss:0.05594	train-auc:0.97253	eval-logloss:0.13248	eval-auc:0.58903
[16]	train-logloss:0.05334	train-auc:0.97646	eval-logloss:0.13182	eval-auc:0.59423
[17]	train-logloss:0.05225	train-auc:0.97872	eval-logloss:0.13200	eval-auc:0.59525
[18]	train-logloss:0.05130	train-auc:0.98047	eval-logloss:0.13213	eval-auc:0.59845
[19]	train-logloss:0.05025	train-auc:0.98152	eval-logloss:0.13376	eval-auc:0.59563
[20]	train-logloss:0.04741	train-auc:0.98664	eval-logloss:0.13522	eval-auc:0.59214
[21]	train-logloss:0.04576	train-auc:0.98816	eval-logloss:0.13499	eval-auc:0.59645
[22]	train-logloss:0.04504	train-auc:0.98892	eval-logloss:0.13530	eval-auc:0.60106
[23]	train-logloss:0.04433	train-auc:0.98952	eval-logloss:0.13584	eval-auc:0.59686
[24]	train-logloss:0.04318	train-auc:0.99047	eval-logloss:0.13643	eval-auc:0.59830
[25]	train-logloss:0.04205	train-auc:0.99126	eval-logloss:0.13680	eval-auc:0.60168
[26]	train-logloss:0.04107	train-auc:0.99179	eval-logloss:0.13634	eval-auc:0.60620
[27]	train-logloss:0.04077	train-auc:0.99203	eval-logloss:0.13704	eval-auc:0.60653
[28]	train-logloss:0.04000	train-auc:0.99236	eval-logloss:0.13732	eval-auc:0.60808
[29]	train-logloss:0.03854	train-auc:0.99316	eval-logloss:0.13862	eval-auc:0.60487
[30]	train-logloss:0.03729	train-auc:0.99403	eval-logloss:0.13880	eval-auc:0.60614
[31]	train-logloss:0.03686	train-auc:0.99423	eval-logloss:0.13956	eval-auc:0.60417
[32]	train-logloss:0.03615	train-auc:0.99455	eval-logloss:0.14001	eval-auc:0.60871
[33]	train-logloss:0.03568	train-auc:0.99478	eval-logloss:0.14039	eval-auc:0.60767
[34]	train-logloss:0.03519	train-auc:0.99504	eval-logloss:0.14056	eval-auc:0.60892
[35]	train-logloss:0.03465	train-auc:0.99526	eval-logloss:0.14016	eval-auc:0.61165
[36]	train-logloss:0.03356	train-auc:0.99566	eval-logloss:0.14208	eval-auc:0.60818
[37]	train-logloss:0.03276	train-auc:0.99603	eval-logloss:0.14282	eval-auc:0.60955
[38]	train-logloss:0.03242	train-auc:0.99615	eval-logloss:0.14251	eval-auc:0.61072
[39]	train-logloss:0.03144	train-auc:0.99654	eval-logloss:0.14311	eval-auc:0.61181
[40]	train-logloss:0.03091	train-auc:0.99666	eval-logloss:0.14276	eval-auc:0.61526
[41]	train-logloss:0.03043	train-auc:0.99677	eval-logloss:0.14278	eval-auc:0.61520
[42]	train-logloss:0.02975	train-auc:0.99697	eval-logloss:0.14279	eval-auc:0.61978
[43]	train-logloss:0.02924	train-auc:0.99714	eval-logloss:0.14325	eval-auc:0.62002
[44]	train-logloss:0.02815	train-auc:0.99747	eval-logloss:0.14369	eval-auc:0.61955
[45]	train-logloss:0.02750	train-auc:0.99781	eval-logloss:0.14456	eval-auc:0.61805
[46]	train-logloss:0.02686	train-auc:0.99809	eval-logloss:0.14579	eval-auc:0.61496
[47]	train-logloss:0.02652	train-auc:0.99813	eval-logloss:0.14625	eval-auc:0.61367
[48]	train-logloss:0.02605	train-auc:0.99820	eval-logloss:0.14646	eval-auc:0.61366
[49]	train-logloss:0.02542	train-auc:0.99832	eval-logloss:0.14731	eval-auc:0.61274
[50]	train-logloss:0.02501	train-auc:0.99842	eval-logloss:0.14799	eval-auc:0.61077
[51]	train-logloss:0.02455	train-auc:0.99851	eval-logloss:0.14847	eval-auc:0.61000
[52]	train-logloss:0.02397	train-auc:0.99857	eval-logloss:0.14886	eval-auc:0.61100
[53]	train-logloss:0.02371	train-auc:0.99858	eval-logloss:0.14940	eval-auc:0.60896
[54]	train-logloss:0.02266	train-auc:0.99871	eval-logloss:0.15035	eval-auc:0.60887
[55]	train-logloss:0.02227	train-auc:0.99881	eval-logloss:0.15062	eval-auc:0.60859
[56]	train-logloss:0.02207	train-auc:0.99882	eval-logloss:0.15064	eval-auc:0.60927
[57]	train-logloss:0.02160	train-auc:0.99891	eval-logloss:0.15113	eval-auc:0.60919
[58]	train-logloss:0.02143	train-auc:0.99895	eval-logloss:0.15126	eval-auc:0.60867
[59]	train-logloss:0.02134	train-auc:0.99896	eval-logloss:0.15158	eval-auc:0.60856
[60]	train-logloss:0.02113	train-auc:0.99896	eval-logloss:0.15144	eval-auc:0.61022
[61]	train-logloss:0.02064	train-auc:0.99902	eval-logloss:0.15175	eval-auc:0.60984
[62]	train-logloss:0.02016	train-auc:0.99912	eval-logloss:0.15206	eval-auc:0.61056
[63]	train-logloss:0.01962	train-auc:0.99923	eval-logloss:0.15429	eval-auc:0.60987
[64]	train-logloss:0.01943	train-auc:0.99925	eval-logloss:0.15425	eval-auc:0.61005
[65]	train-logloss:0.01911	train-auc:0.99926	eval-logloss:0.15470	eval-auc:0.60896
[66]	train-logloss:0.01883	train-auc:0.99929	eval-logloss:0.15540	eval-auc:0.60768
[67]	train-logloss:0.01848	train-auc:0.99932	eval-logloss:0.15543	eval-auc:0.60948
[68]	train-logloss:0.01837	train-auc:0.99933	eval-logloss:0.15562	eval-auc:0.60890
[69]	train-logloss:0.01810	train-auc:0.99935	eval-logloss:0.15598	eval-auc:0.60885
[70]	train-logloss:0.01776	train-auc:0.99944	eval-logloss:0.15661	eval-auc:0.60829
[71]	train-logloss:0.01738	train-auc:0.99951	eval-logloss:0.15674	eval-auc:0.61044
[72]	train-logloss:0.01727	train-auc:0.99951	eval-logloss:0.15673	eval-auc:0.61077
[73]	train-logloss:0.01673	train-auc:0.99956	eval-logloss:0.15666	eval-auc:0.61108
[74]	train-logloss:0.01635	train-auc:0.99961	eval-logloss:0.15683	eval-auc:0.61250
[75]	train-logloss:0.01612	train-auc:0.99963	eval-logloss:0.15710	eval-auc:0.61310
[76]	train-logloss:0.01586	train-auc:0.99964	eval-logloss:0.15765	eval-auc:0.61497
[77]	train-logloss:0.01553	train-auc:0.99970	eval-logloss:0.15806	eval-auc:0.61459
[78]	train-logloss:0.01532	train-auc:0.99970	eval-logloss:0.15941	eval-auc:0.61150
[79]	train-logloss:0.01517	train-auc:0.99971	eval-logloss:0.16000	eval-auc:0.61044
[80]	train-logloss:0.01483	train-auc:0.99975	eval-logloss:0.16157	eval-auc:0.60799
[81]	train-logloss:0.01463	train-auc:0.99975	eval-logloss:0.16257	eval-auc:0.60617
[82]	train-logloss:0.01440	train-auc:0.99980	eval-logloss:0.16262	eval-auc:0.60838
[83]	train-logloss:0.01411	train-auc:0.99981	eval-logloss:0.16317	eval-auc:0.60934
[84]	train-logloss:0.01399	train-auc:0.99981	eval-logloss:0.16329	eval-auc:0.60969
[85]	train-logloss:0.01394	train-auc:0.99981	eval-logloss:0.16343	eval-auc:0.60943
[86]	train-logloss:0.01380	train-auc:0.99981	eval-logloss:0.16413	eval-auc:0.60875
[87]	train-logloss:0.01357	train-auc:0.99984	eval-logloss:0.16439	eval-auc:0.61044
[88]	train-logloss:0.01344	train-auc:0.99985	eval-logloss:0.16500	eval-auc:0.60794
[89]	train-logloss:0.01330	train-auc:0.99985	eval-logloss:0.16541	eval-auc:0.60775
[90]	train-logloss:0.01306	train-auc:0.99987	eval-logloss:0.16549	eval-auc:0.60834
[91]	train-logloss:0.01294	train-auc:0.99987	eval-logloss:0.16586	eval-auc:0.60869
[92]	train-logloss:0.01264	train-auc:0.99988	eval-logloss:0.16588	eval-auc:0.60980
[93]	train-logloss:0.01255	train-auc:0.99988	eval-logloss:0.16590	eval-auc:0.61021
[94]	train-logloss:0.01246	train-auc:0.99988	eval-logloss:0.16612	eval-auc:0.61019
[95]	train-logloss:0.01216	train-auc:0.99989	eval-logloss:0.16671	eval-auc:0.60959
[96]	train-logloss:0.01199	train-auc:0.99991	eval-logloss:0.16688	eval-auc:0.60951
[97]	train-logloss:0.01176	train-auc:0.99991	eval-logloss:0.16795	eval-auc:0.60873
[98]	train-logloss:0.01159	train-auc:0.99992	eval-logloss:0.16853	eval-auc:0.60743
[99]	train-logloss:0.01150	train-auc:0.99992	eval-logloss:0.16845	eval-auc:0.60775
[100]	train-logloss:0.01124	train-auc:0.99993	eval-logloss:0.16917	eval-auc:0.60905
[101]	train-logloss:0.01107	train-auc:0.99993	eval-logloss:0.16948	eval-auc:0.60949
[102]	train-logloss:0.01090	train-auc:0.99993	eval-logloss:0.17074	eval-auc:0.60687
[103]	train-logloss:0.01079	train-auc:0.99994	eval-logloss:0.17135	eval-auc:0.60758
[104]	train-logloss:0.01068	train-auc:0.99994	eval-logloss:0.17141	eval-auc:0.60837
[105]	train-logloss:0.01046	train-auc:0.99994	eval-logloss:0.17171	eval-auc:0.60818
[106]	train-logloss:0.01030	train-auc:0.99995	eval-logloss:0.17186	eval-auc:0.60788
[107]	train-logloss:0.01022	train-auc:0.99995	eval-logloss:0.17216	eval-auc:0.60748
[108]	train-logloss:0.01017	train-auc:0.99995	eval-logloss:0.17242	eval-auc:0.60718
[109]	train-logloss:0.01009	train-auc:0.99995	eval-logloss:0.17275	eval-auc:0.60665
[110]	train-logloss:0.01003	train-auc:0.99995	eval-logloss:0.17297	eval-auc:0.60677
[111]	train-logloss:0.00996	train-auc:0.99995	eval-logloss:0.17280	eval-auc:0.60642
[112]	train-logloss:0.00979	train-auc:0.99996	eval-logloss:0.17250	eval-auc:0.60859
[113]	train-logloss:0.00959	train-auc:0.99997	eval-logloss:0.17260	eval-auc:0.60924
[114]	train-logloss:0.00942	train-auc:0.99997	eval-logloss:0.17310	eval-auc:0.60814
[115]	train-logloss:0.00938	train-auc:0.99997	eval-logloss:0.17336	eval-auc:0.60733
[116]	train-logloss:0.00929	train-auc:0.99997	eval-logloss:0.17310	eval-auc:0.60951
[117]	train-logloss:0.00924	train-auc:0.99997	eval-logloss:0.17325	eval-auc:0.60999
[118]	train-logloss:0.00908	train-auc:0.99998	eval-logloss:0.17367	eval-auc:0.61001
[119]	train-logloss:0.00898	train-auc:0.99998	eval-logloss:0.17382	eval-auc:0.61181
[120]	train-logloss:0.00883	train-auc:0.99998	eval-logloss:0.17457	eval-auc:0.61140
[121]	train-logloss:0.00873	train-auc:0.99998	eval-logloss:0.17540	eval-auc:0.60910
[122]	train-logloss:0.00861	train-auc:0.99998	eval-logloss:0.17571	eval-auc:0.60914
[123]	train-logloss:0.00856	train-auc:0.99998	eval-logloss:0.17604	eval-auc:0.60869
[124]	train-logloss:0.00849	train-auc:0.99998	eval-logloss:0.17673	eval-auc:0.60804
[125]	train-logloss:0.00842	train-auc:0.99998	eval-logloss:0.17739	eval-auc:0.60714
[126]	train-logloss:0.00833	train-auc:0.99998	eval-logloss:0.17790	eval-auc:0.60582
[127]	train-logloss:0.00828	train-auc:0.99998	eval-logloss:0.17823	eval-auc:0.60566
[128]	train-logloss:0.00816	train-auc:0.99998	eval-logloss:0.17918	eval-auc:0.60366
[129]	train-logloss:0.00801	train-auc:0.99999	eval-logloss:0.17944	eval-auc:0.60398
[130]	train-logloss:0.00789	train-auc:0.99999	eval-logloss:0.18021	eval-auc:0.60213
[131]	train-logloss:0.00769	train-auc:0.99999	eval-logloss:0.18157	eval-auc:0.60030
[132]	train-logloss:0.00762	train-auc:0.99999	eval-logloss:0.18163	eval-auc:0.60069
[133]	train-logloss:0.00754	train-auc:0.99999	eval-logloss:0.18158	eval-auc:0.60151
[134]	train-logloss:0.00745	train-auc:0.99999	eval-logloss:0.18174	eval-auc:0.60170
[135]	train-logloss:0.00729	train-auc:0.99999	eval-logloss:0.18246	eval-auc:0.60189
[136]	train-logloss:0.00722	train-auc:0.99999	eval-logloss:0.18268	eval-auc:0.60220
[137]	train-logloss:0.00714	train-auc:0.99999	eval-logloss:0.18272	eval-auc:0.60255
[138]	train-logloss:0.00707	train-auc:0.99999	eval-logloss:0.18311	eval-auc:0.60295
[139]	train-logloss:0.00699	train-auc:0.99999	eval-logloss:0.18311	eval-auc:0.60318
[140]	train-logloss:0.00690	train-auc:0.99999	eval-logloss:0.18327	eval-auc:0.60298
[141]	train-logloss:0.00685	train-auc:0.99999	eval-logloss:0.18343	eval-auc:0.60291
[142]	train-logloss:0.00679	train-auc:0.99999	eval-logloss:0.18405	eval-auc:0.60181
[143]	train-logloss:0.00675	train-auc:0.99999	eval-logloss:0.18465	eval-auc:0.60084
[144]	train-logloss:0.00669	train-auc:0.99999	eval-logloss:0.18486	eval-auc:0.60138
[145]	train-logloss:0.00660	train-auc:0.99999	eval-logloss:0.18520	eval-auc:0.60063
[146]	train-logloss:0.00657	train-auc:0.99999	eval-logloss:0.18538	eval-auc:0.60095
[147]	train-logloss:0.00652	train-auc:0.99999	eval-logloss:0.18572	eval-auc:0.60179
[148]	train-logloss:0.00648	train-auc:0.99999	eval-logloss:0.18603	eval-auc:0.60171
[149]	train-logloss:0.00646	train-auc:0.99999	eval-logloss:0.18609	eval-auc:0.60184
[150]	train-logloss:0.00634	train-auc:0.99999	eval-logloss:0.18698	eval-auc:0.60150
[151]	train-logloss:0.00628	train-auc:0.99999	eval-logloss:0.18742	eval-auc:0.60089
[152]	train-logloss:0.00624	train-auc:0.99999	eval-logloss:0.18783	eval-auc:0.59998
[153]	train-logloss:0.00620	train-auc:0.99999	eval-logloss:0.18816	eval-auc:0.59966
[154]	train-logloss:0.00617	train-auc:0.99999	eval-logloss:0.18851	eval-auc:0.59933
[155]	train-logloss:0.00613	train-auc:0.99999	eval-logloss:0.18865	eval-auc:0.59969
[156]	train-logloss:0.00606	train-auc:0.99999	eval-logloss:0.18864	eval-auc:0.60047
[157]	train-logloss:0.00600	train-auc:0.99999	eval-logloss:0.18879	eval-auc:0.60099
[158]	train-logloss:0.00591	train-auc:1.00000	eval-logloss:0.18912	eval-auc:0.60019
[159]	train-logloss:0.00584	train-auc:1.00000	eval-logloss:0.18910	eval-auc:0.60075
[160]	train-logloss:0.00581	train-auc:1.00000	eval-logloss:0.18895	eval-auc:0.60242
[161]	train-logloss:0.00578	train-auc:1.00000	eval-logloss:0.18909	eval-auc:0.60224
[162]	train-logloss:0.00566	train-auc:1.00000	eval-logloss:0.18928	eval-auc:0.60260
[163]	train-logloss:0.00562	train-auc:1.00000	eval-logloss:0.18921	eval-auc:0.60289
[164]	train-logloss:0.00558	train-auc:1.00000	eval-logloss:0.18934	eval-auc:0.60365
[165]	train-logloss:0.00557	train-auc:1.00000	eval-logloss:0.18942	eval-auc:0.60399
[166]	train-logloss:0.00555	train-auc:1.00000	eval-logloss:0.18957	eval-auc:0.60450
[167]	train-logloss:0.00552	train-auc:1.00000	eval-logloss:0.18987	eval-auc:0.60427
[168]	train-logloss:0.00547	train-auc:1.00000	eval-logloss:0.19002	eval-auc:0.60404
[169]	train-logloss:0.00545	train-auc:1.00000	eval-logloss:0.19006	eval-auc:0.60506
[170]	train-logloss:0.00540	train-auc:1.00000	eval-logloss:0.19039	eval-auc:0.60515
[171]	train-logloss:0.00535	train-auc:1.00000	eval-logloss:0.19046	eval-auc:0.60566
[172]	train-logloss:0.00526	train-auc:1.00000	eval-logloss:0.19086	eval-auc:0.60553
[173]	train-logloss:0.00515	train-auc:1.00000	eval-logloss:0.19145	eval-auc:0.60563
[174]	train-logloss:0.00510	train-auc:1.00000	eval-logloss:0.19151	eval-auc:0.60608
[175]	train-logloss:0.00507	train-auc:1.00000	eval-logloss:0.19130	eval-auc:0.60665
[176]	train-logloss:0.00502	train-auc:1.00000	eval-logloss:0.19150	eval-auc:0.60673
[177]	train-logloss:0.00491	train-auc:1.00000	eval-logloss:0.19200	eval-auc:0.60683
[178]	train-logloss:0.00486	train-auc:1.00000	eval-logloss:0.19194	eval-auc:0.60722
[179]	train-logloss:0.00483	train-auc:1.00000	eval-logloss:0.19200	eval-auc:0.60746
[180]	train-logloss:0.00477	train-auc:1.00000	eval-logloss:0.19193	eval-auc:0.60775
[181]	train-logloss:0.00473	train-auc:1.00000	eval-logloss:0.19215	eval-auc:0.60831
[182]	train-logloss:0.00469	train-auc:1.00000	eval-logloss:0.19283	eval-auc:0.60817
[183]	train-logloss:0.00464	train-auc:1.00000	eval-logloss:0.19311	eval-auc:0.60785
[184]	train-logloss:0.00457	train-auc:1.00000	eval-logloss:0.19317	eval-auc:0.60858
[185]	train-logloss:0.00455	train-auc:1.00000	eval-logloss:0.19335	eval-auc:0.60872
[186]	train-logloss:0.00451	train-auc:1.00000	eval-logloss:0.19361	eval-auc:0.60893
[187]	train-logloss:0.00446	train-auc:1.00000	eval-logloss:0.19376	eval-auc:0.60880
[188]	train-logloss:0.00442	train-auc:1.00000	eval-logloss:0.19370	eval-auc:0.61064
[189]	train-logloss:0.00441	train-auc:1.00000	eval-logloss:0.19379	eval-auc:0.61072
[190]	train-logloss:0.00438	train-auc:1.00000	eval-logloss:0.19411	eval-auc:0.61052
[191]	train-logloss:0.00434	train-auc:1.00000	eval-logloss:0.19449	eval-auc:0.60990
[192]	train-logloss:0.00429	train-auc:1.00000	eval-logloss:0.19461	eval-auc:0.61126
[193]	train-logloss:0.00423	train-auc:1.00000	eval-logloss:0.19480	eval-auc:0.61218
[194]	train-logloss:0.00418	train-auc:1.00000	eval-logloss:0.19492	eval-auc:0.61221
[195]	train-logloss:0.00415	train-auc:1.00000	eval-logloss:0.19533	eval-auc:0.61130
[196]	train-logloss:0.00413	train-auc:1.00000	eval-logloss:0.19550	eval-auc:0.61115
[197]	train-logloss:0.00410	train-auc:1.00000	eval-logloss:0.19552	eval-auc:0.61156
[198]	train-logloss:0.00406	train-auc:1.00000	eval-logloss:0.19561	eval-auc:0.61223
[199]	train-logloss:0.00403	train-auc:1.00000	eval-logloss:0.19603	eval-auc:0.61178
Confusion Matrix:
[[12534    14]
 [  328     0]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions_mean_20250513_162912.csv
