No overlap between train and test sets.
[0]	train-logloss:0.09499	train-auc:0.75517	eval-logloss:0.12297	eval-auc:0.46133
[1]	train-logloss:0.08651	train-auc:0.86531	eval-logloss:0.12544	eval-auc:0.46601
[2]	train-logloss:0.08382	train-auc:0.88134	eval-logloss:0.12631	eval-auc:0.46248
[3]	train-logloss:0.08226	train-auc:0.88916	eval-logloss:0.12659	eval-auc:0.47469
[4]	train-logloss:0.08016	train-auc:0.89968	eval-logloss:0.12693	eval-auc:0.48702
[5]	train-logloss:0.07668	train-auc:0.91424	eval-logloss:0.12795	eval-auc:0.49368
[6]	train-logloss:0.07358	train-auc:0.92729	eval-logloss:0.12829	eval-auc:0.50944
[7]	train-logloss:0.07191	train-auc:0.93399	eval-logloss:0.12876	eval-auc:0.50514
[8]	train-logloss:0.07011	train-auc:0.93903	eval-logloss:0.13002	eval-auc:0.50682
[9]	train-logloss:0.06761	train-auc:0.94681	eval-logloss:0.13154	eval-auc:0.49950
[10]	train-logloss:0.06449	train-auc:0.95408	eval-logloss:0.13179	eval-auc:0.50950
[11]	train-logloss:0.06267	train-auc:0.95935	eval-logloss:0.13297	eval-auc:0.50616
[12]	train-logloss:0.06105	train-auc:0.96286	eval-logloss:0.13256	eval-auc:0.51780
[13]	train-logloss:0.05996	train-auc:0.96460	eval-logloss:0.13325	eval-auc:0.51465
[14]	train-logloss:0.05823	train-auc:0.96808	eval-logloss:0.13482	eval-auc:0.50615
[15]	train-logloss:0.05697	train-auc:0.97034	eval-logloss:0.13508	eval-auc:0.51122
[16]	train-logloss:0.05621	train-auc:0.97136	eval-logloss:0.13527	eval-auc:0.51356
[17]	train-logloss:0.05503	train-auc:0.97298	eval-logloss:0.13652	eval-auc:0.51431
[18]	train-logloss:0.05289	train-auc:0.97680	eval-logloss:0.13648	eval-auc:0.51858
[19]	train-logloss:0.05160	train-auc:0.97867	eval-logloss:0.13781	eval-auc:0.51286
[20]	train-logloss:0.05084	train-auc:0.98008	eval-logloss:0.13813	eval-auc:0.51586
[21]	train-logloss:0.04968	train-auc:0.98155	eval-logloss:0.13901	eval-auc:0.51375
[22]	train-logloss:0.04880	train-auc:0.98258	eval-logloss:0.14021	eval-auc:0.50905
[23]	train-logloss:0.04578	train-auc:0.98616	eval-logloss:0.14037	eval-auc:0.51598
[24]	train-logloss:0.04490	train-auc:0.98698	eval-logloss:0.14113	eval-auc:0.51534
[25]	train-logloss:0.04424	train-auc:0.98767	eval-logloss:0.14218	eval-auc:0.51656
[26]	train-logloss:0.04332	train-auc:0.98842	eval-logloss:0.14227	eval-auc:0.52176
[27]	train-logloss:0.04237	train-auc:0.98915	eval-logloss:0.14266	eval-auc:0.52342
[28]	train-logloss:0.04179	train-auc:0.98956	eval-logloss:0.14279	eval-auc:0.52583
[29]	train-logloss:0.04122	train-auc:0.98996	eval-logloss:0.14318	eval-auc:0.52580
[30]	train-logloss:0.04047	train-auc:0.99040	eval-logloss:0.14392	eval-auc:0.53071
[31]	train-logloss:0.03971	train-auc:0.99122	eval-logloss:0.14398	eval-auc:0.53406
[32]	train-logloss:0.03851	train-auc:0.99195	eval-logloss:0.14471	eval-auc:0.53562
[33]	train-logloss:0.03808	train-auc:0.99214	eval-logloss:0.14565	eval-auc:0.53563
[34]	train-logloss:0.03731	train-auc:0.99255	eval-logloss:0.14587	eval-auc:0.53381
[35]	train-logloss:0.03657	train-auc:0.99305	eval-logloss:0.14583	eval-auc:0.53502
[36]	train-logloss:0.03518	train-auc:0.99366	eval-logloss:0.14785	eval-auc:0.53346
[37]	train-logloss:0.03431	train-auc:0.99408	eval-logloss:0.14963	eval-auc:0.52883
[38]	train-logloss:0.03383	train-auc:0.99428	eval-logloss:0.15010	eval-auc:0.52906
[39]	train-logloss:0.03329	train-auc:0.99449	eval-logloss:0.15110	eval-auc:0.52746
[40]	train-logloss:0.03221	train-auc:0.99497	eval-logloss:0.15203	eval-auc:0.52650
[41]	train-logloss:0.03155	train-auc:0.99515	eval-logloss:0.15291	eval-auc:0.52657
[42]	train-logloss:0.03099	train-auc:0.99532	eval-logloss:0.15350	eval-auc:0.52951
[43]	train-logloss:0.03031	train-auc:0.99549	eval-logloss:0.15375	eval-auc:0.53005
[44]	train-logloss:0.02988	train-auc:0.99557	eval-logloss:0.15416	eval-auc:0.53190
[45]	train-logloss:0.02943	train-auc:0.99570	eval-logloss:0.15519	eval-auc:0.53001
[46]	train-logloss:0.02881	train-auc:0.99627	eval-logloss:0.15622	eval-auc:0.52790
[47]	train-logloss:0.02776	train-auc:0.99656	eval-logloss:0.15696	eval-auc:0.52636
[48]	train-logloss:0.02704	train-auc:0.99670	eval-logloss:0.15766	eval-auc:0.52630
[49]	train-logloss:0.02669	train-auc:0.99676	eval-logloss:0.15789	eval-auc:0.52848
[50]	train-logloss:0.02630	train-auc:0.99687	eval-logloss:0.15893	eval-auc:0.52783
[51]	train-logloss:0.02567	train-auc:0.99700	eval-logloss:0.15996	eval-auc:0.53188
[52]	train-logloss:0.02521	train-auc:0.99730	eval-logloss:0.16036	eval-auc:0.53158
[53]	train-logloss:0.02499	train-auc:0.99734	eval-logloss:0.16103	eval-auc:0.53002
[54]	train-logloss:0.02476	train-auc:0.99741	eval-logloss:0.16184	eval-auc:0.53052
[55]	train-logloss:0.02420	train-auc:0.99759	eval-logloss:0.16205	eval-auc:0.53172
[56]	train-logloss:0.02381	train-auc:0.99769	eval-logloss:0.16277	eval-auc:0.53226
[57]	train-logloss:0.02320	train-auc:0.99780	eval-logloss:0.16348	eval-auc:0.53195
[58]	train-logloss:0.02233	train-auc:0.99798	eval-logloss:0.16460	eval-auc:0.53252
[59]	train-logloss:0.02179	train-auc:0.99807	eval-logloss:0.16475	eval-auc:0.53456
[60]	train-logloss:0.02102	train-auc:0.99840	eval-logloss:0.16613	eval-auc:0.53276
[61]	train-logloss:0.02088	train-auc:0.99845	eval-logloss:0.16626	eval-auc:0.53556
[62]	train-logloss:0.02050	train-auc:0.99851	eval-logloss:0.16654	eval-auc:0.53593
[63]	train-logloss:0.02011	train-auc:0.99856	eval-logloss:0.16716	eval-auc:0.53606
[64]	train-logloss:0.01954	train-auc:0.99870	eval-logloss:0.16767	eval-auc:0.53311
[65]	train-logloss:0.01934	train-auc:0.99874	eval-logloss:0.16796	eval-auc:0.53389
[66]	train-logloss:0.01867	train-auc:0.99885	eval-logloss:0.16950	eval-auc:0.52935
[67]	train-logloss:0.01826	train-auc:0.99893	eval-logloss:0.17050	eval-auc:0.52815
[68]	train-logloss:0.01773	train-auc:0.99904	eval-logloss:0.17106	eval-auc:0.52735
[69]	train-logloss:0.01729	train-auc:0.99906	eval-logloss:0.17140	eval-auc:0.52860
[70]	train-logloss:0.01691	train-auc:0.99912	eval-logloss:0.17212	eval-auc:0.53124
[71]	train-logloss:0.01641	train-auc:0.99917	eval-logloss:0.17291	eval-auc:0.53165
[72]	train-logloss:0.01603	train-auc:0.99924	eval-logloss:0.17353	eval-auc:0.53238
[73]	train-logloss:0.01594	train-auc:0.99925	eval-logloss:0.17382	eval-auc:0.53259
[74]	train-logloss:0.01572	train-auc:0.99930	eval-logloss:0.17451	eval-auc:0.53207
[75]	train-logloss:0.01546	train-auc:0.99931	eval-logloss:0.17587	eval-auc:0.53005
[76]	train-logloss:0.01515	train-auc:0.99933	eval-logloss:0.17619	eval-auc:0.53133
[77]	train-logloss:0.01480	train-auc:0.99941	eval-logloss:0.17646	eval-auc:0.53157
[78]	train-logloss:0.01470	train-auc:0.99941	eval-logloss:0.17700	eval-auc:0.53275
[79]	train-logloss:0.01454	train-auc:0.99943	eval-logloss:0.17750	eval-auc:0.53197
[80]	train-logloss:0.01422	train-auc:0.99948	eval-logloss:0.17799	eval-auc:0.53196
[81]	train-logloss:0.01405	train-auc:0.99949	eval-logloss:0.17842	eval-auc:0.53268
[82]	train-logloss:0.01373	train-auc:0.99949	eval-logloss:0.17904	eval-auc:0.53283
[83]	train-logloss:0.01362	train-auc:0.99950	eval-logloss:0.17919	eval-auc:0.53284
[84]	train-logloss:0.01353	train-auc:0.99951	eval-logloss:0.17953	eval-auc:0.53251
[85]	train-logloss:0.01340	train-auc:0.99952	eval-logloss:0.18010	eval-auc:0.53431
[86]	train-logloss:0.01317	train-auc:0.99955	eval-logloss:0.18098	eval-auc:0.53186
[87]	train-logloss:0.01311	train-auc:0.99954	eval-logloss:0.18146	eval-auc:0.53259
[88]	train-logloss:0.01279	train-auc:0.99959	eval-logloss:0.18158	eval-auc:0.53345
[89]	train-logloss:0.01263	train-auc:0.99960	eval-logloss:0.18190	eval-auc:0.53349
[90]	train-logloss:0.01247	train-auc:0.99963	eval-logloss:0.18221	eval-auc:0.53289
[91]	train-logloss:0.01229	train-auc:0.99966	eval-logloss:0.18309	eval-auc:0.53320
[92]	train-logloss:0.01216	train-auc:0.99966	eval-logloss:0.18333	eval-auc:0.53400
[93]	train-logloss:0.01205	train-auc:0.99967	eval-logloss:0.18351	eval-auc:0.53367
[94]	train-logloss:0.01171	train-auc:0.99971	eval-logloss:0.18487	eval-auc:0.53305
[95]	train-logloss:0.01152	train-auc:0.99973	eval-logloss:0.18570	eval-auc:0.53257
[96]	train-logloss:0.01137	train-auc:0.99972	eval-logloss:0.18679	eval-auc:0.53041
[97]	train-logloss:0.01114	train-auc:0.99973	eval-logloss:0.18718	eval-auc:0.52942
[98]	train-logloss:0.01091	train-auc:0.99977	eval-logloss:0.18744	eval-auc:0.53085
[99]	train-logloss:0.01075	train-auc:0.99977	eval-logloss:0.18818	eval-auc:0.53001
[100]	train-logloss:0.01065	train-auc:0.99977	eval-logloss:0.18823	eval-auc:0.53109
[101]	train-logloss:0.01054	train-auc:0.99978	eval-logloss:0.18827	eval-auc:0.53268
[102]	train-logloss:0.01036	train-auc:0.99979	eval-logloss:0.18887	eval-auc:0.53182
[103]	train-logloss:0.01020	train-auc:0.99980	eval-logloss:0.18902	eval-auc:0.53201
[104]	train-logloss:0.01016	train-auc:0.99980	eval-logloss:0.18940	eval-auc:0.53232
[105]	train-logloss:0.00998	train-auc:0.99984	eval-logloss:0.18941	eval-auc:0.53432
[106]	train-logloss:0.00993	train-auc:0.99984	eval-logloss:0.18974	eval-auc:0.53406
[107]	train-logloss:0.00985	train-auc:0.99985	eval-logloss:0.19046	eval-auc:0.53337
[108]	train-logloss:0.00968	train-auc:0.99987	eval-logloss:0.19135	eval-auc:0.53393
[109]	train-logloss:0.00944	train-auc:0.99989	eval-logloss:0.19147	eval-auc:0.53483
[110]	train-logloss:0.00938	train-auc:0.99989	eval-logloss:0.19175	eval-auc:0.53513
[111]	train-logloss:0.00933	train-auc:0.99989	eval-logloss:0.19170	eval-auc:0.53542
[112]	train-logloss:0.00927	train-auc:0.99989	eval-logloss:0.19191	eval-auc:0.53624
[113]	train-logloss:0.00918	train-auc:0.99989	eval-logloss:0.19222	eval-auc:0.53607
[114]	train-logloss:0.00903	train-auc:0.99990	eval-logloss:0.19273	eval-auc:0.53619
[115]	train-logloss:0.00880	train-auc:0.99991	eval-logloss:0.19405	eval-auc:0.53354
[116]	train-logloss:0.00867	train-auc:0.99992	eval-logloss:0.19438	eval-auc:0.53350
[117]	train-logloss:0.00861	train-auc:0.99992	eval-logloss:0.19463	eval-auc:0.53438
[118]	train-logloss:0.00856	train-auc:0.99992	eval-logloss:0.19534	eval-auc:0.53546
[119]	train-logloss:0.00846	train-auc:0.99992	eval-logloss:0.19550	eval-auc:0.53809
[120]	train-logloss:0.00836	train-auc:0.99993	eval-logloss:0.19583	eval-auc:0.53850
[121]	train-logloss:0.00832	train-auc:0.99993	eval-logloss:0.19617	eval-auc:0.53809
[122]	train-logloss:0.00816	train-auc:0.99994	eval-logloss:0.19690	eval-auc:0.53982
[123]	train-logloss:0.00800	train-auc:0.99994	eval-logloss:0.19719	eval-auc:0.54136
[124]	train-logloss:0.00788	train-auc:0.99994	eval-logloss:0.19780	eval-auc:0.54048
[125]	train-logloss:0.00781	train-auc:0.99995	eval-logloss:0.19813	eval-auc:0.54029
[126]	train-logloss:0.00761	train-auc:0.99996	eval-logloss:0.19919	eval-auc:0.53753
[127]	train-logloss:0.00741	train-auc:0.99996	eval-logloss:0.19968	eval-auc:0.53702
[128]	train-logloss:0.00730	train-auc:0.99996	eval-logloss:0.19996	eval-auc:0.53701
[129]	train-logloss:0.00719	train-auc:0.99996	eval-logloss:0.20005	eval-auc:0.53770
[130]	train-logloss:0.00714	train-auc:0.99997	eval-logloss:0.20072	eval-auc:0.53820
[131]	train-logloss:0.00709	train-auc:0.99997	eval-logloss:0.20101	eval-auc:0.53979
[132]	train-logloss:0.00700	train-auc:0.99997	eval-logloss:0.20185	eval-auc:0.53731
[133]	train-logloss:0.00694	train-auc:0.99997	eval-logloss:0.20230	eval-auc:0.53641
[134]	train-logloss:0.00679	train-auc:0.99998	eval-logloss:0.20240	eval-auc:0.53615
[135]	train-logloss:0.00674	train-auc:0.99998	eval-logloss:0.20254	eval-auc:0.53596
[136]	train-logloss:0.00671	train-auc:0.99998	eval-logloss:0.20272	eval-auc:0.53694
[137]	train-logloss:0.00658	train-auc:0.99998	eval-logloss:0.20280	eval-auc:0.53820
[138]	train-logloss:0.00655	train-auc:0.99998	eval-logloss:0.20302	eval-auc:0.53939
[139]	train-logloss:0.00645	train-auc:0.99998	eval-logloss:0.20417	eval-auc:0.53753
[140]	train-logloss:0.00637	train-auc:0.99998	eval-logloss:0.20397	eval-auc:0.54012
[141]	train-logloss:0.00627	train-auc:0.99998	eval-logloss:0.20438	eval-auc:0.54019
[142]	train-logloss:0.00623	train-auc:0.99998	eval-logloss:0.20453	eval-auc:0.53936
[143]	train-logloss:0.00615	train-auc:0.99998	eval-logloss:0.20518	eval-auc:0.53933
[144]	train-logloss:0.00611	train-auc:0.99998	eval-logloss:0.20572	eval-auc:0.53928
[145]	train-logloss:0.00608	train-auc:0.99998	eval-logloss:0.20585	eval-auc:0.53916
[146]	train-logloss:0.00602	train-auc:0.99999	eval-logloss:0.20609	eval-auc:0.53944
[147]	train-logloss:0.00597	train-auc:0.99999	eval-logloss:0.20646	eval-auc:0.53895
[148]	train-logloss:0.00594	train-auc:0.99999	eval-logloss:0.20637	eval-auc:0.53930
[149]	train-logloss:0.00589	train-auc:0.99999	eval-logloss:0.20670	eval-auc:0.53971
[150]	train-logloss:0.00581	train-auc:0.99999	eval-logloss:0.20749	eval-auc:0.53839
[151]	train-logloss:0.00577	train-auc:0.99999	eval-logloss:0.20771	eval-auc:0.53798
[152]	train-logloss:0.00566	train-auc:0.99999	eval-logloss:0.20819	eval-auc:0.53897
[153]	train-logloss:0.00563	train-auc:0.99999	eval-logloss:0.20840	eval-auc:0.53947
[154]	train-logloss:0.00559	train-auc:0.99999	eval-logloss:0.20871	eval-auc:0.53815
[155]	train-logloss:0.00554	train-auc:0.99999	eval-logloss:0.20883	eval-auc:0.53841
[156]	train-logloss:0.00542	train-auc:0.99999	eval-logloss:0.20927	eval-auc:0.53862
[157]	train-logloss:0.00537	train-auc:0.99999	eval-logloss:0.20985	eval-auc:0.53843
[158]	train-logloss:0.00530	train-auc:0.99999	eval-logloss:0.20994	eval-auc:0.53830
[159]	train-logloss:0.00525	train-auc:0.99999	eval-logloss:0.21003	eval-auc:0.53853
[160]	train-logloss:0.00518	train-auc:0.99999	eval-logloss:0.21113	eval-auc:0.53638
[161]	train-logloss:0.00512	train-auc:0.99999	eval-logloss:0.21119	eval-auc:0.53638
[162]	train-logloss:0.00509	train-auc:0.99999	eval-logloss:0.21129	eval-auc:0.53715
[163]	train-logloss:0.00503	train-auc:0.99999	eval-logloss:0.21155	eval-auc:0.53712
[164]	train-logloss:0.00495	train-auc:0.99999	eval-logloss:0.21151	eval-auc:0.53814
[165]	train-logloss:0.00492	train-auc:0.99999	eval-logloss:0.21152	eval-auc:0.53893
[166]	train-logloss:0.00487	train-auc:0.99999	eval-logloss:0.21223	eval-auc:0.53839
[167]	train-logloss:0.00484	train-auc:0.99999	eval-logloss:0.21242	eval-auc:0.53842
[168]	train-logloss:0.00481	train-auc:0.99999	eval-logloss:0.21267	eval-auc:0.53902
[169]	train-logloss:0.00478	train-auc:0.99999	eval-logloss:0.21321	eval-auc:0.53780
[170]	train-logloss:0.00473	train-auc:1.00000	eval-logloss:0.21361	eval-auc:0.53885
[171]	train-logloss:0.00466	train-auc:1.00000	eval-logloss:0.21418	eval-auc:0.53854
[172]	train-logloss:0.00463	train-auc:1.00000	eval-logloss:0.21440	eval-auc:0.53832
[173]	train-logloss:0.00455	train-auc:1.00000	eval-logloss:0.21477	eval-auc:0.53824
[174]	train-logloss:0.00453	train-auc:1.00000	eval-logloss:0.21504	eval-auc:0.53795
[175]	train-logloss:0.00449	train-auc:1.00000	eval-logloss:0.21529	eval-auc:0.53769
[176]	train-logloss:0.00445	train-auc:1.00000	eval-logloss:0.21572	eval-auc:0.53731
[177]	train-logloss:0.00442	train-auc:1.00000	eval-logloss:0.21585	eval-auc:0.53714
[178]	train-logloss:0.00438	train-auc:1.00000	eval-logloss:0.21620	eval-auc:0.53650
[179]	train-logloss:0.00435	train-auc:1.00000	eval-logloss:0.21662	eval-auc:0.53699
[180]	train-logloss:0.00433	train-auc:1.00000	eval-logloss:0.21703	eval-auc:0.53590
[181]	train-logloss:0.00428	train-auc:1.00000	eval-logloss:0.21703	eval-auc:0.53649
[182]	train-logloss:0.00425	train-auc:1.00000	eval-logloss:0.21757	eval-auc:0.53524
[183]	train-logloss:0.00424	train-auc:1.00000	eval-logloss:0.21763	eval-auc:0.53631
[184]	train-logloss:0.00418	train-auc:1.00000	eval-logloss:0.21793	eval-auc:0.53639
[185]	train-logloss:0.00413	train-auc:1.00000	eval-logloss:0.21790	eval-auc:0.53682
[186]	train-logloss:0.00409	train-auc:1.00000	eval-logloss:0.21791	eval-auc:0.53675
[187]	train-logloss:0.00407	train-auc:1.00000	eval-logloss:0.21804	eval-auc:0.53774
[188]	train-logloss:0.00405	train-auc:1.00000	eval-logloss:0.21830	eval-auc:0.53727
[189]	train-logloss:0.00401	train-auc:1.00000	eval-logloss:0.21829	eval-auc:0.53804
[190]	train-logloss:0.00398	train-auc:1.00000	eval-logloss:0.21818	eval-auc:0.53863
[191]	train-logloss:0.00395	train-auc:1.00000	eval-logloss:0.21833	eval-auc:0.53882
[192]	train-logloss:0.00390	train-auc:1.00000	eval-logloss:0.21878	eval-auc:0.53998
[193]	train-logloss:0.00383	train-auc:1.00000	eval-logloss:0.21890	eval-auc:0.53959
[194]	train-logloss:0.00376	train-auc:1.00000	eval-logloss:0.21923	eval-auc:0.53927
[195]	train-logloss:0.00374	train-auc:1.00000	eval-logloss:0.21937	eval-auc:0.53968
[196]	train-logloss:0.00373	train-auc:1.00000	eval-logloss:0.21943	eval-auc:0.54150
[197]	train-logloss:0.00370	train-auc:1.00000	eval-logloss:0.22047	eval-auc:0.53994
[198]	train-logloss:0.00368	train-auc:1.00000	eval-logloss:0.22070	eval-auc:0.54002
[199]	train-logloss:0.00365	train-auc:1.00000	eval-logloss:0.22088	eval-auc:0.54043
Confusion Matrix:
[[12551     0]
 [  327     1]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions_nearest_20250513_191639.csv
