No overlap between train and test sets.
[0]	train-logloss:0.08369	train-auc:0.78668	eval-logloss:0.10593	eval-auc:0.50780
[1]	train-logloss:0.07715	train-auc:0.86205	eval-logloss:0.10595	eval-auc:0.55707
[2]	train-logloss:0.07394	train-auc:0.88375	eval-logloss:0.10712	eval-auc:0.56962
[3]	train-logloss:0.06929	train-auc:0.91552	eval-logloss:0.10721	eval-auc:0.60514
[4]	train-logloss:0.06709	train-auc:0.92805	eval-logloss:0.10884	eval-auc:0.59520
[5]	train-logloss:0.06434	train-auc:0.94058	eval-logloss:0.10930	eval-auc:0.59944
[6]	train-logloss:0.06229	train-auc:0.94869	eval-logloss:0.10940	eval-auc:0.61032
[7]	train-logloss:0.06029	train-auc:0.95450	eval-logloss:0.10990	eval-auc:0.61158
[8]	train-logloss:0.05776	train-auc:0.96155	eval-logloss:0.11229	eval-auc:0.60821
[9]	train-logloss:0.05686	train-auc:0.96256	eval-logloss:0.11259	eval-auc:0.61584
[10]	train-logloss:0.05584	train-auc:0.96441	eval-logloss:0.11243	eval-auc:0.62071
[11]	train-logloss:0.05343	train-auc:0.97019	eval-logloss:0.11343	eval-auc:0.61519
[12]	train-logloss:0.05108	train-auc:0.97612	eval-logloss:0.11427	eval-auc:0.61521
[13]	train-logloss:0.05003	train-auc:0.97781	eval-logloss:0.11416	eval-auc:0.61840
[14]	train-logloss:0.04850	train-auc:0.98014	eval-logloss:0.11514	eval-auc:0.60908
[15]	train-logloss:0.04750	train-auc:0.98161	eval-logloss:0.11586	eval-auc:0.61322
[16]	train-logloss:0.04629	train-auc:0.98269	eval-logloss:0.11633	eval-auc:0.61049
[17]	train-logloss:0.04536	train-auc:0.98411	eval-logloss:0.11649	eval-auc:0.61178
[18]	train-logloss:0.04318	train-auc:0.98681	eval-logloss:0.11717	eval-auc:0.61614
[19]	train-logloss:0.04234	train-auc:0.98743	eval-logloss:0.11833	eval-auc:0.61512
[20]	train-logloss:0.04063	train-auc:0.98949	eval-logloss:0.11789	eval-auc:0.62097
[21]	train-logloss:0.03946	train-auc:0.99025	eval-logloss:0.11878	eval-auc:0.61589
[22]	train-logloss:0.03672	train-auc:0.99327	eval-logloss:0.12055	eval-auc:0.60542
[23]	train-logloss:0.03575	train-auc:0.99395	eval-logloss:0.12011	eval-auc:0.61079
[24]	train-logloss:0.03490	train-auc:0.99447	eval-logloss:0.11957	eval-auc:0.62184
[25]	train-logloss:0.03380	train-auc:0.99508	eval-logloss:0.12002	eval-auc:0.62239
[26]	train-logloss:0.03236	train-auc:0.99584	eval-logloss:0.12201	eval-auc:0.60766
[27]	train-logloss:0.03140	train-auc:0.99636	eval-logloss:0.12279	eval-auc:0.60266
[28]	train-logloss:0.03101	train-auc:0.99656	eval-logloss:0.12348	eval-auc:0.60432
[29]	train-logloss:0.03051	train-auc:0.99671	eval-logloss:0.12330	eval-auc:0.60621
[30]	train-logloss:0.02998	train-auc:0.99691	eval-logloss:0.12371	eval-auc:0.60553
[31]	train-logloss:0.02972	train-auc:0.99700	eval-logloss:0.12392	eval-auc:0.60526
[32]	train-logloss:0.02921	train-auc:0.99716	eval-logloss:0.12372	eval-auc:0.60628
[33]	train-logloss:0.02830	train-auc:0.99744	eval-logloss:0.12469	eval-auc:0.60459
[34]	train-logloss:0.02744	train-auc:0.99769	eval-logloss:0.12521	eval-auc:0.60841
[35]	train-logloss:0.02690	train-auc:0.99784	eval-logloss:0.12624	eval-auc:0.60859
[36]	train-logloss:0.02643	train-auc:0.99793	eval-logloss:0.12655	eval-auc:0.60712
[37]	train-logloss:0.02595	train-auc:0.99802	eval-logloss:0.12668	eval-auc:0.60818
[38]	train-logloss:0.02488	train-auc:0.99828	eval-logloss:0.12787	eval-auc:0.60335
[39]	train-logloss:0.02367	train-auc:0.99853	eval-logloss:0.12847	eval-auc:0.60531
[40]	train-logloss:0.02259	train-auc:0.99869	eval-logloss:0.12971	eval-auc:0.60058
[41]	train-logloss:0.02170	train-auc:0.99881	eval-logloss:0.12989	eval-auc:0.60284
[42]	train-logloss:0.02095	train-auc:0.99904	eval-logloss:0.13061	eval-auc:0.60340
[43]	train-logloss:0.02035	train-auc:0.99911	eval-logloss:0.13171	eval-auc:0.60194
[44]	train-logloss:0.01953	train-auc:0.99915	eval-logloss:0.13285	eval-auc:0.60396
[45]	train-logloss:0.01904	train-auc:0.99928	eval-logloss:0.13259	eval-auc:0.60630
[46]	train-logloss:0.01803	train-auc:0.99954	eval-logloss:0.13387	eval-auc:0.60219
[47]	train-logloss:0.01747	train-auc:0.99958	eval-logloss:0.13423	eval-auc:0.60372
[48]	train-logloss:0.01695	train-auc:0.99959	eval-logloss:0.13507	eval-auc:0.60042
[49]	train-logloss:0.01657	train-auc:0.99960	eval-logloss:0.13520	eval-auc:0.60180
[50]	train-logloss:0.01598	train-auc:0.99965	eval-logloss:0.13510	eval-auc:0.60427
[51]	train-logloss:0.01553	train-auc:0.99969	eval-logloss:0.13553	eval-auc:0.60386
[52]	train-logloss:0.01520	train-auc:0.99970	eval-logloss:0.13640	eval-auc:0.60469
[53]	train-logloss:0.01503	train-auc:0.99970	eval-logloss:0.13655	eval-auc:0.60553
[54]	train-logloss:0.01470	train-auc:0.99971	eval-logloss:0.13732	eval-auc:0.60459
[55]	train-logloss:0.01444	train-auc:0.99972	eval-logloss:0.13803	eval-auc:0.60532
[56]	train-logloss:0.01407	train-auc:0.99976	eval-logloss:0.13899	eval-auc:0.60338
[57]	train-logloss:0.01381	train-auc:0.99978	eval-logloss:0.13929	eval-auc:0.60665
[58]	train-logloss:0.01367	train-auc:0.99978	eval-logloss:0.13945	eval-auc:0.60687
[59]	train-logloss:0.01352	train-auc:0.99980	eval-logloss:0.14020	eval-auc:0.60356
[60]	train-logloss:0.01335	train-auc:0.99980	eval-logloss:0.14060	eval-auc:0.60332
[61]	train-logloss:0.01315	train-auc:0.99981	eval-logloss:0.14248	eval-auc:0.60116
[62]	train-logloss:0.01276	train-auc:0.99982	eval-logloss:0.14302	eval-auc:0.59989
