No overlap between train and test sets.
[0]	train-logloss:0.08482	train-auc:0.78225	eval-logloss:0.11119	eval-auc:0.59345
[1]	train-logloss:0.08019	train-auc:0.84120	eval-logloss:0.11054	eval-auc:0.58286
[2]	train-logloss:0.07346	train-auc:0.89154	eval-logloss:0.11669	eval-auc:0.55498
[3]	train-logloss:0.07076	train-auc:0.90779	eval-logloss:0.11624	eval-auc:0.57690
[4]	train-logloss:0.06774	train-auc:0.92273	eval-logloss:0.11808	eval-auc:0.55519
[5]	train-logloss:0.06431	train-auc:0.93864	eval-logloss:0.11816	eval-auc:0.55814
[6]	train-logloss:0.06172	train-auc:0.94633	eval-logloss:0.12130	eval-auc:0.55792
[7]	train-logloss:0.06001	train-auc:0.95090	eval-logloss:0.12301	eval-auc:0.58002
[8]	train-logloss:0.05659	train-auc:0.96474	eval-logloss:0.12397	eval-auc:0.59472
[9]	train-logloss:0.05444	train-auc:0.96985	eval-logloss:0.12575	eval-auc:0.58421
[10]	train-logloss:0.05175	train-auc:0.97670	eval-logloss:0.12703	eval-auc:0.58149
[11]	train-logloss:0.04922	train-auc:0.98155	eval-logloss:0.12739	eval-auc:0.58354
[12]	train-logloss:0.04751	train-auc:0.98283	eval-logloss:0.12790	eval-auc:0.58763
[13]	train-logloss:0.04647	train-auc:0.98497	eval-logloss:0.12803	eval-auc:0.58742
[14]	train-logloss:0.04499	train-auc:0.98658	eval-logloss:0.12889	eval-auc:0.59021
[15]	train-logloss:0.04209	train-auc:0.99023	eval-logloss:0.12928	eval-auc:0.58994
[16]	train-logloss:0.03978	train-auc:0.99222	eval-logloss:0.13131	eval-auc:0.57842
[17]	train-logloss:0.03930	train-auc:0.99252	eval-logloss:0.13104	eval-auc:0.57961
[18]	train-logloss:0.03847	train-auc:0.99332	eval-logloss:0.13142	eval-auc:0.57784
[19]	train-logloss:0.03775	train-auc:0.99370	eval-logloss:0.13266	eval-auc:0.57437
[20]	train-logloss:0.03690	train-auc:0.99443	eval-logloss:0.13329	eval-auc:0.57509
[21]	train-logloss:0.03584	train-auc:0.99502	eval-logloss:0.13246	eval-auc:0.57799
[22]	train-logloss:0.03485	train-auc:0.99574	eval-logloss:0.13137	eval-auc:0.58446
[23]	train-logloss:0.03362	train-auc:0.99622	eval-logloss:0.13233	eval-auc:0.58119
[24]	train-logloss:0.03331	train-auc:0.99635	eval-logloss:0.13177	eval-auc:0.58624
[25]	train-logloss:0.03191	train-auc:0.99694	eval-logloss:0.13363	eval-auc:0.57568
[26]	train-logloss:0.03049	train-auc:0.99749	eval-logloss:0.13330	eval-auc:0.58355
[27]	train-logloss:0.02987	train-auc:0.99768	eval-logloss:0.13245	eval-auc:0.59111
[28]	train-logloss:0.02938	train-auc:0.99782	eval-logloss:0.13214	eval-auc:0.59016
[29]	train-logloss:0.02911	train-auc:0.99785	eval-logloss:0.13244	eval-auc:0.59278
[30]	train-logloss:0.02875	train-auc:0.99797	eval-logloss:0.13262	eval-auc:0.59476
[31]	train-logloss:0.02752	train-auc:0.99832	eval-logloss:0.13387	eval-auc:0.59310
[32]	train-logloss:0.02580	train-auc:0.99886	eval-logloss:0.13491	eval-auc:0.58884
[33]	train-logloss:0.02470	train-auc:0.99913	eval-logloss:0.13499	eval-auc:0.58900
[34]	train-logloss:0.02394	train-auc:0.99925	eval-logloss:0.13552	eval-auc:0.58697
[35]	train-logloss:0.02365	train-auc:0.99929	eval-logloss:0.13600	eval-auc:0.58818
[36]	train-logloss:0.02257	train-auc:0.99939	eval-logloss:0.13550	eval-auc:0.58940
[37]	train-logloss:0.02136	train-auc:0.99958	eval-logloss:0.13667	eval-auc:0.58701
[38]	train-logloss:0.02072	train-auc:0.99965	eval-logloss:0.13853	eval-auc:0.58104
[39]	train-logloss:0.02023	train-auc:0.99969	eval-logloss:0.13842	eval-auc:0.58081
[40]	train-logloss:0.01930	train-auc:0.99979	eval-logloss:0.13871	eval-auc:0.58374
[41]	train-logloss:0.01876	train-auc:0.99981	eval-logloss:0.13926	eval-auc:0.58486
[42]	train-logloss:0.01841	train-auc:0.99982	eval-logloss:0.13974	eval-auc:0.58494
[43]	train-logloss:0.01801	train-auc:0.99984	eval-logloss:0.13960	eval-auc:0.58789
[44]	train-logloss:0.01763	train-auc:0.99985	eval-logloss:0.13987	eval-auc:0.58694
[45]	train-logloss:0.01703	train-auc:0.99989	eval-logloss:0.14036	eval-auc:0.58769
[46]	train-logloss:0.01673	train-auc:0.99991	eval-logloss:0.14060	eval-auc:0.58650
