No overlap between train and test sets.
[0]	train-logloss:0.08513	train-auc:0.78202	eval-logloss:0.10583	eval-auc:0.54887
[1]	train-logloss:0.07857	train-auc:0.88406	eval-logloss:0.10766	eval-auc:0.60371
[2]	train-logloss:0.07249	train-auc:0.92075	eval-logloss:0.10816	eval-auc:0.63671
[3]	train-logloss:0.06818	train-auc:0.93436	eval-logloss:0.10842	eval-auc:0.63498
[4]	train-logloss:0.06611	train-auc:0.93990	eval-logloss:0.10805	eval-auc:0.64843
[5]	train-logloss:0.06340	train-auc:0.94892	eval-logloss:0.10844	eval-auc:0.64837
[6]	train-logloss:0.06072	train-auc:0.95781	eval-logloss:0.11242	eval-auc:0.63441
[7]	train-logloss:0.05985	train-auc:0.96016	eval-logloss:0.11252	eval-auc:0.63675
[8]	train-logloss:0.05857	train-auc:0.96155	eval-logloss:0.11315	eval-auc:0.63577
[9]	train-logloss:0.05617	train-auc:0.96772	eval-logloss:0.11442	eval-auc:0.63550
[10]	train-logloss:0.05444	train-auc:0.97011	eval-logloss:0.11563	eval-auc:0.63011
[11]	train-logloss:0.05319	train-auc:0.97235	eval-logloss:0.11583	eval-auc:0.63541
[12]	train-logloss:0.05201	train-auc:0.97500	eval-logloss:0.11616	eval-auc:0.63796
[13]	train-logloss:0.04996	train-auc:0.97750	eval-logloss:0.11661	eval-auc:0.63539
[14]	train-logloss:0.04845	train-auc:0.97855	eval-logloss:0.11671	eval-auc:0.64106
[15]	train-logloss:0.04661	train-auc:0.98192	eval-logloss:0.11705	eval-auc:0.64031
[16]	train-logloss:0.04520	train-auc:0.98312	eval-logloss:0.11790	eval-auc:0.63552
[17]	train-logloss:0.04416	train-auc:0.98478	eval-logloss:0.11871	eval-auc:0.62728
[18]	train-logloss:0.04161	train-auc:0.98726	eval-logloss:0.11913	eval-auc:0.62489
[19]	train-logloss:0.04059	train-auc:0.98786	eval-logloss:0.11930	eval-auc:0.62725
[20]	train-logloss:0.03975	train-auc:0.98855	eval-logloss:0.11987	eval-auc:0.62668
[21]	train-logloss:0.03893	train-auc:0.98873	eval-logloss:0.12040	eval-auc:0.62491
[22]	train-logloss:0.03813	train-auc:0.98952	eval-logloss:0.12079	eval-auc:0.62545
[23]	train-logloss:0.03760	train-auc:0.99062	eval-logloss:0.12111	eval-auc:0.62729
[24]	train-logloss:0.03641	train-auc:0.99151	eval-logloss:0.12203	eval-auc:0.62239
[25]	train-logloss:0.03611	train-auc:0.99156	eval-logloss:0.12198	eval-auc:0.62432
[26]	train-logloss:0.03578	train-auc:0.99180	eval-logloss:0.12256	eval-auc:0.62344
[27]	train-logloss:0.03425	train-auc:0.99279	eval-logloss:0.12318	eval-auc:0.62410
[28]	train-logloss:0.03295	train-auc:0.99352	eval-logloss:0.12366	eval-auc:0.62112
[29]	train-logloss:0.03208	train-auc:0.99374	eval-logloss:0.12481	eval-auc:0.61693
[30]	train-logloss:0.03179	train-auc:0.99379	eval-logloss:0.12531	eval-auc:0.61635
[31]	train-logloss:0.03119	train-auc:0.99403	eval-logloss:0.12525	eval-auc:0.62207
[32]	train-logloss:0.03004	train-auc:0.99443	eval-logloss:0.12523	eval-auc:0.62497
[33]	train-logloss:0.02908	train-auc:0.99478	eval-logloss:0.12551	eval-auc:0.62490
[34]	train-logloss:0.02809	train-auc:0.99548	eval-logloss:0.12648	eval-auc:0.62214
[35]	train-logloss:0.02755	train-auc:0.99566	eval-logloss:0.12683	eval-auc:0.62032
[36]	train-logloss:0.02659	train-auc:0.99598	eval-logloss:0.12754	eval-auc:0.61910
[37]	train-logloss:0.02527	train-auc:0.99686	eval-logloss:0.12877	eval-auc:0.61715
[38]	train-logloss:0.02455	train-auc:0.99701	eval-logloss:0.12988	eval-auc:0.61286
[39]	train-logloss:0.02373	train-auc:0.99747	eval-logloss:0.13038	eval-auc:0.61189
