No overlap between train and test sets.
[0]	train-logloss:0.08585	train-auc:0.72462	eval-logloss:0.10266	eval-auc:0.63049
[1]	train-logloss:0.07901	train-auc:0.84387	eval-logloss:0.10393	eval-auc:0.59600
[2]	train-logloss:0.07225	train-auc:0.90339	eval-logloss:0.10653	eval-auc:0.56562
[3]	train-logloss:0.06973	train-auc:0.91380	eval-logloss:0.10802	eval-auc:0.55381
[4]	train-logloss:0.06649	train-auc:0.92875	eval-logloss:0.10881	eval-auc:0.55825
[5]	train-logloss:0.06168	train-auc:0.94686	eval-logloss:0.11008	eval-auc:0.55941
[6]	train-logloss:0.05744	train-auc:0.96277	eval-logloss:0.11018	eval-auc:0.58715
[7]	train-logloss:0.05563	train-auc:0.96781	eval-logloss:0.10974	eval-auc:0.60706
[8]	train-logloss:0.05272	train-auc:0.97505	eval-logloss:0.11017	eval-auc:0.60743
[9]	train-logloss:0.04851	train-auc:0.98161	eval-logloss:0.11209	eval-auc:0.58785
[10]	train-logloss:0.04719	train-auc:0.98386	eval-logloss:0.11243	eval-auc:0.59883
[11]	train-logloss:0.04617	train-auc:0.98542	eval-logloss:0.11315	eval-auc:0.59711
[12]	train-logloss:0.04420	train-auc:0.98808	eval-logloss:0.11336	eval-auc:0.60336
[13]	train-logloss:0.04254	train-auc:0.98983	eval-logloss:0.11459	eval-auc:0.58995
[14]	train-logloss:0.04183	train-auc:0.99053	eval-logloss:0.11551	eval-auc:0.58704
[15]	train-logloss:0.04113	train-auc:0.99099	eval-logloss:0.11607	eval-auc:0.58746
[16]	train-logloss:0.03997	train-auc:0.99211	eval-logloss:0.11699	eval-auc:0.58658
[17]	train-logloss:0.03843	train-auc:0.99334	eval-logloss:0.11782	eval-auc:0.58584
[18]	train-logloss:0.03645	train-auc:0.99466	eval-logloss:0.11790	eval-auc:0.58905
[19]	train-logloss:0.03580	train-auc:0.99495	eval-logloss:0.11813	eval-auc:0.59261
[20]	train-logloss:0.03449	train-auc:0.99559	eval-logloss:0.11957	eval-auc:0.58840
[21]	train-logloss:0.03348	train-auc:0.99593	eval-logloss:0.12113	eval-auc:0.58047
[22]	train-logloss:0.03137	train-auc:0.99700	eval-logloss:0.12087	eval-auc:0.58885
[23]	train-logloss:0.02970	train-auc:0.99763	eval-logloss:0.12155	eval-auc:0.58963
[24]	train-logloss:0.02890	train-auc:0.99788	eval-logloss:0.12155	eval-auc:0.59216
[25]	train-logloss:0.02844	train-auc:0.99796	eval-logloss:0.12193	eval-auc:0.59692
[26]	train-logloss:0.02720	train-auc:0.99842	eval-logloss:0.12292	eval-auc:0.59308
[27]	train-logloss:0.02671	train-auc:0.99854	eval-logloss:0.12321	eval-auc:0.59361
[28]	train-logloss:0.02580	train-auc:0.99879	eval-logloss:0.12381	eval-auc:0.59453
[29]	train-logloss:0.02505	train-auc:0.99896	eval-logloss:0.12503	eval-auc:0.59300
[30]	train-logloss:0.02446	train-auc:0.99916	eval-logloss:0.12545	eval-auc:0.59105
[31]	train-logloss:0.02358	train-auc:0.99924	eval-logloss:0.12573	eval-auc:0.59437
[32]	train-logloss:0.02314	train-auc:0.99930	eval-logloss:0.12644	eval-auc:0.59433
[33]	train-logloss:0.02260	train-auc:0.99934	eval-logloss:0.12705	eval-auc:0.59483
[34]	train-logloss:0.02226	train-auc:0.99939	eval-logloss:0.12760	eval-auc:0.59352
[35]	train-logloss:0.02136	train-auc:0.99948	eval-logloss:0.12903	eval-auc:0.58647
[36]	train-logloss:0.02031	train-auc:0.99964	eval-logloss:0.12991	eval-auc:0.58407
[37]	train-logloss:0.01976	train-auc:0.99973	eval-logloss:0.13038	eval-auc:0.58471
[38]	train-logloss:0.01903	train-auc:0.99978	eval-logloss:0.13116	eval-auc:0.58365
[39]	train-logloss:0.01867	train-auc:0.99979	eval-logloss:0.13164	eval-auc:0.58583
[40]	train-logloss:0.01820	train-auc:0.99982	eval-logloss:0.13174	eval-auc:0.58788
[41]	train-logloss:0.01745	train-auc:0.99986	eval-logloss:0.13240	eval-auc:0.58852
[42]	train-logloss:0.01688	train-auc:0.99989	eval-logloss:0.13356	eval-auc:0.58465
[43]	train-logloss:0.01653	train-auc:0.99991	eval-logloss:0.13437	eval-auc:0.58558
[44]	train-logloss:0.01575	train-auc:0.99993	eval-logloss:0.13542	eval-auc:0.58111
[45]	train-logloss:0.01530	train-auc:0.99994	eval-logloss:0.13600	eval-auc:0.58135
[46]	train-logloss:0.01502	train-auc:0.99995	eval-logloss:0.13658	eval-auc:0.57988
[47]	train-logloss:0.01465	train-auc:0.99997	eval-logloss:0.13696	eval-auc:0.58245
[48]	train-logloss:0.01379	train-auc:0.99998	eval-logloss:0.13794	eval-auc:0.58519
[49]	train-logloss:0.01346	train-auc:0.99998	eval-logloss:0.13916	eval-auc:0.58419
[50]	train-logloss:0.01316	train-auc:0.99998	eval-logloss:0.14008	eval-auc:0.58116
[51]	train-logloss:0.01275	train-auc:0.99999	eval-logloss:0.14056	eval-auc:0.58353
[52]	train-logloss:0.01242	train-auc:0.99999	eval-logloss:0.14077	eval-auc:0.58505
[53]	train-logloss:0.01215	train-auc:0.99999	eval-logloss:0.14099	eval-auc:0.58757
[54]	train-logloss:0.01168	train-auc:1.00000	eval-logloss:0.14122	eval-auc:0.58801
[55]	train-logloss:0.01139	train-auc:1.00000	eval-logloss:0.14245	eval-auc:0.58496
[56]	train-logloss:0.01081	train-auc:1.00000	eval-logloss:0.14332	eval-auc:0.58633
[57]	train-logloss:0.01044	train-auc:1.00000	eval-logloss:0.14385	eval-auc:0.58611
[58]	train-logloss:0.01025	train-auc:1.00000	eval-logloss:0.14378	eval-auc:0.58780
[59]	train-logloss:0.00994	train-auc:1.00000	eval-logloss:0.14500	eval-auc:0.58717
[60]	train-logloss:0.00969	train-auc:1.00000	eval-logloss:0.14553	eval-auc:0.58604
[61]	train-logloss:0.00935	train-auc:1.00000	eval-logloss:0.14637	eval-auc:0.58497
[62]	train-logloss:0.00916	train-auc:1.00000	eval-logloss:0.14771	eval-auc:0.58175
[63]	train-logloss:0.00878	train-auc:1.00000	eval-logloss:0.14895	eval-auc:0.58192
[64]	train-logloss:0.00848	train-auc:1.00000	eval-logloss:0.14980	eval-auc:0.58051
[65]	train-logloss:0.00823	train-auc:1.00000	eval-logloss:0.15086	eval-auc:0.57852
[66]	train-logloss:0.00812	train-auc:1.00000	eval-logloss:0.15121	eval-auc:0.57783
[67]	train-logloss:0.00782	train-auc:1.00000	eval-logloss:0.15240	eval-auc:0.57541
