No overlap between train and test sets.
[0]	train-logloss:0.08604	train-auc:0.78711	eval-logloss:0.10333	eval-auc:0.62135
[1]	train-logloss:0.07647	train-auc:0.87400	eval-logloss:0.10364	eval-auc:0.65139
[2]	train-logloss:0.07104	train-auc:0.91233	eval-logloss:0.10392	eval-auc:0.64820
[3]	train-logloss:0.06879	train-auc:0.92506	eval-logloss:0.10465	eval-auc:0.64093
[4]	train-logloss:0.06185	train-auc:0.95090	eval-logloss:0.10613	eval-auc:0.64302
[5]	train-logloss:0.06030	train-auc:0.95555	eval-logloss:0.10648	eval-auc:0.64286
[6]	train-logloss:0.05836	train-auc:0.95998	eval-logloss:0.10738	eval-auc:0.64192
[7]	train-logloss:0.05497	train-auc:0.96810	eval-logloss:0.10868	eval-auc:0.62770
[8]	train-logloss:0.05248	train-auc:0.97316	eval-logloss:0.10922	eval-auc:0.63354
[9]	train-logloss:0.05170	train-auc:0.97414	eval-logloss:0.10997	eval-auc:0.62886
[10]	train-logloss:0.04963	train-auc:0.97728	eval-logloss:0.11138	eval-auc:0.61925
[11]	train-logloss:0.04789	train-auc:0.97963	eval-logloss:0.11255	eval-auc:0.61282
[12]	train-logloss:0.04665	train-auc:0.98111	eval-logloss:0.11271	eval-auc:0.61937
[13]	train-logloss:0.04506	train-auc:0.98304	eval-logloss:0.11326	eval-auc:0.61785
[14]	train-logloss:0.04312	train-auc:0.98562	eval-logloss:0.11429	eval-auc:0.60771
[15]	train-logloss:0.04223	train-auc:0.98694	eval-logloss:0.11497	eval-auc:0.60683
[16]	train-logloss:0.04100	train-auc:0.98848	eval-logloss:0.11554	eval-auc:0.61116
[17]	train-logloss:0.03918	train-auc:0.99013	eval-logloss:0.11633	eval-auc:0.60890
[18]	train-logloss:0.03694	train-auc:0.99221	eval-logloss:0.11801	eval-auc:0.59702
[19]	train-logloss:0.03588	train-auc:0.99302	eval-logloss:0.11866	eval-auc:0.60217
[20]	train-logloss:0.03515	train-auc:0.99338	eval-logloss:0.11892	eval-auc:0.60470
[21]	train-logloss:0.03340	train-auc:0.99423	eval-logloss:0.11868	eval-auc:0.61467
[22]	train-logloss:0.03262	train-auc:0.99462	eval-logloss:0.11901	eval-auc:0.62150
[23]	train-logloss:0.03168	train-auc:0.99507	eval-logloss:0.11923	eval-auc:0.62385
[24]	train-logloss:0.03087	train-auc:0.99543	eval-logloss:0.12068	eval-auc:0.61581
[25]	train-logloss:0.02960	train-auc:0.99591	eval-logloss:0.12187	eval-auc:0.61132
[26]	train-logloss:0.02899	train-auc:0.99618	eval-logloss:0.12217	eval-auc:0.61512
[27]	train-logloss:0.02823	train-auc:0.99654	eval-logloss:0.12229	eval-auc:0.61710
[28]	train-logloss:0.02672	train-auc:0.99738	eval-logloss:0.12267	eval-auc:0.62097
[29]	train-logloss:0.02610	train-auc:0.99770	eval-logloss:0.12358	eval-auc:0.61849
[30]	train-logloss:0.02570	train-auc:0.99783	eval-logloss:0.12416	eval-auc:0.61650
[31]	train-logloss:0.02506	train-auc:0.99804	eval-logloss:0.12535	eval-auc:0.61209
[32]	train-logloss:0.02458	train-auc:0.99815	eval-logloss:0.12564	eval-auc:0.61263
[33]	train-logloss:0.02255	train-auc:0.99876	eval-logloss:0.12660	eval-auc:0.61499
[34]	train-logloss:0.02206	train-auc:0.99890	eval-logloss:0.12667	eval-auc:0.61964
[35]	train-logloss:0.02147	train-auc:0.99905	eval-logloss:0.12690	eval-auc:0.62307
[36]	train-logloss:0.02056	train-auc:0.99918	eval-logloss:0.12752	eval-auc:0.62681
[37]	train-logloss:0.02015	train-auc:0.99930	eval-logloss:0.12815	eval-auc:0.62499
[38]	train-logloss:0.01925	train-auc:0.99946	eval-logloss:0.12869	eval-auc:0.62585
[39]	train-logloss:0.01861	train-auc:0.99950	eval-logloss:0.12924	eval-auc:0.62472
[40]	train-logloss:0.01769	train-auc:0.99962	eval-logloss:0.13058	eval-auc:0.62129
[41]	train-logloss:0.01691	train-auc:0.99971	eval-logloss:0.13210	eval-auc:0.61667
[42]	train-logloss:0.01648	train-auc:0.99972	eval-logloss:0.13249	eval-auc:0.61717
[43]	train-logloss:0.01619	train-auc:0.99975	eval-logloss:0.13256	eval-auc:0.61950
[44]	train-logloss:0.01579	train-auc:0.99978	eval-logloss:0.13330	eval-auc:0.61448
[45]	train-logloss:0.01526	train-auc:0.99981	eval-logloss:0.13392	eval-auc:0.61173
[46]	train-logloss:0.01486	train-auc:0.99984	eval-logloss:0.13433	eval-auc:0.61641
[47]	train-logloss:0.01411	train-auc:0.99987	eval-logloss:0.13572	eval-auc:0.61144
[48]	train-logloss:0.01360	train-auc:0.99988	eval-logloss:0.13708	eval-auc:0.60938
[49]	train-logloss:0.01316	train-auc:0.99991	eval-logloss:0.13727	eval-auc:0.61119
[50]	train-logloss:0.01295	train-auc:0.99991	eval-logloss:0.13759	eval-auc:0.61119
[51]	train-logloss:0.01276	train-auc:0.99991	eval-logloss:0.13806	eval-auc:0.61065
[52]	train-logloss:0.01239	train-auc:0.99992	eval-logloss:0.13852	eval-auc:0.60945
[53]	train-logloss:0.01203	train-auc:0.99993	eval-logloss:0.13845	eval-auc:0.61205
[54]	train-logloss:0.01165	train-auc:0.99994	eval-logloss:0.13893	eval-auc:0.61228
[55]	train-logloss:0.01140	train-auc:0.99994	eval-logloss:0.13996	eval-auc:0.60928
[56]	train-logloss:0.01125	train-auc:0.99995	eval-logloss:0.13993	eval-auc:0.61208
[57]	train-logloss:0.01093	train-auc:0.99995	eval-logloss:0.14083	eval-auc:0.60990
[58]	train-logloss:0.01073	train-auc:0.99996	eval-logloss:0.14182	eval-auc:0.60680
[59]	train-logloss:0.01049	train-auc:0.99996	eval-logloss:0.14222	eval-auc:0.60586
[60]	train-logloss:0.01038	train-auc:0.99996	eval-logloss:0.14239	eval-auc:0.60596
[61]	train-logloss:0.01014	train-auc:0.99996	eval-logloss:0.14274	eval-auc:0.60542
[62]	train-logloss:0.00995	train-auc:0.99997	eval-logloss:0.14285	eval-auc:0.60797
[63]	train-logloss:0.00964	train-auc:0.99997	eval-logloss:0.14423	eval-auc:0.60474
[64]	train-logloss:0.00931	train-auc:0.99997	eval-logloss:0.14519	eval-auc:0.60381
[65]	train-logloss:0.00914	train-auc:0.99997	eval-logloss:0.14565	eval-auc:0.60281
[66]	train-logloss:0.00894	train-auc:0.99997	eval-logloss:0.14664	eval-auc:0.60225
[67]	train-logloss:0.00863	train-auc:0.99998	eval-logloss:0.14700	eval-auc:0.60327
[68]	train-logloss:0.00839	train-auc:0.99999	eval-logloss:0.14737	eval-auc:0.60339
[69]	train-logloss:0.00826	train-auc:0.99999	eval-logloss:0.14776	eval-auc:0.60375
[70]	train-logloss:0.00819	train-auc:0.99999	eval-logloss:0.14842	eval-auc:0.60166
