No overlap between train and test sets.
[0]	train-logloss:0.09533	train-auc:0.80206	eval-logloss:0.12242	eval-auc:0.48413
[1]	train-logloss:0.08649	train-auc:0.86332	eval-logloss:0.12473	eval-auc:0.46659
[2]	train-logloss:0.08375	train-auc:0.88496	eval-logloss:0.12562	eval-auc:0.46204
[3]	train-logloss:0.07997	train-auc:0.90060	eval-logloss:0.12682	eval-auc:0.46121
[4]	train-logloss:0.07518	train-auc:0.91895	eval-logloss:0.12758	eval-auc:0.47299
[5]	train-logloss:0.07297	train-auc:0.92484	eval-logloss:0.12793	eval-auc:0.49605
[6]	train-logloss:0.07114	train-auc:0.93257	eval-logloss:0.12779	eval-auc:0.50926
[7]	train-logloss:0.06986	train-auc:0.93506	eval-logloss:0.12818	eval-auc:0.51692
[8]	train-logloss:0.06851	train-auc:0.93923	eval-logloss:0.12856	eval-auc:0.51496
[9]	train-logloss:0.06615	train-auc:0.94755	eval-logloss:0.12905	eval-auc:0.51801
[10]	train-logloss:0.06379	train-auc:0.95402	eval-logloss:0.13042	eval-auc:0.50483
[11]	train-logloss:0.06186	train-auc:0.95811	eval-logloss:0.13199	eval-auc:0.49955
[12]	train-logloss:0.06028	train-auc:0.96163	eval-logloss:0.13288	eval-auc:0.49000
[13]	train-logloss:0.05850	train-auc:0.96467	eval-logloss:0.13471	eval-auc:0.48461
[14]	train-logloss:0.05737	train-auc:0.96746	eval-logloss:0.13509	eval-auc:0.48497
[15]	train-logloss:0.05625	train-auc:0.96950	eval-logloss:0.13552	eval-auc:0.49145
[16]	train-logloss:0.05462	train-auc:0.97288	eval-logloss:0.13612	eval-auc:0.49339
[17]	train-logloss:0.05283	train-auc:0.97516	eval-logloss:0.13659	eval-auc:0.49828
[18]	train-logloss:0.05057	train-auc:0.97898	eval-logloss:0.13649	eval-auc:0.50487
[19]	train-logloss:0.04955	train-auc:0.98019	eval-logloss:0.13748	eval-auc:0.50033
[20]	train-logloss:0.04804	train-auc:0.98198	eval-logloss:0.13767	eval-auc:0.50317
[21]	train-logloss:0.04668	train-auc:0.98339	eval-logloss:0.13877	eval-auc:0.50113
[22]	train-logloss:0.04614	train-auc:0.98383	eval-logloss:0.14018	eval-auc:0.49794
[23]	train-logloss:0.04460	train-auc:0.98521	eval-logloss:0.14046	eval-auc:0.50035
[24]	train-logloss:0.04343	train-auc:0.98678	eval-logloss:0.14136	eval-auc:0.50140
[25]	train-logloss:0.04297	train-auc:0.98709	eval-logloss:0.14214	eval-auc:0.50073
[26]	train-logloss:0.04188	train-auc:0.98812	eval-logloss:0.14212	eval-auc:0.50142
[27]	train-logloss:0.04114	train-auc:0.98881	eval-logloss:0.14230	eval-auc:0.50367
[28]	train-logloss:0.04041	train-auc:0.98929	eval-logloss:0.14355	eval-auc:0.50148
[29]	train-logloss:0.03988	train-auc:0.98975	eval-logloss:0.14410	eval-auc:0.50392
[30]	train-logloss:0.03905	train-auc:0.99056	eval-logloss:0.14488	eval-auc:0.50369
[31]	train-logloss:0.03839	train-auc:0.99132	eval-logloss:0.14533	eval-auc:0.50638
[32]	train-logloss:0.03779	train-auc:0.99162	eval-logloss:0.14626	eval-auc:0.50083
[33]	train-logloss:0.03719	train-auc:0.99193	eval-logloss:0.14641	eval-auc:0.50168
[34]	train-logloss:0.03655	train-auc:0.99239	eval-logloss:0.14738	eval-auc:0.49679
[35]	train-logloss:0.03570	train-auc:0.99279	eval-logloss:0.14848	eval-auc:0.50050
[36]	train-logloss:0.03430	train-auc:0.99392	eval-logloss:0.14918	eval-auc:0.49910
[37]	train-logloss:0.03301	train-auc:0.99458	eval-logloss:0.14966	eval-auc:0.50869
[38]	train-logloss:0.03249	train-auc:0.99473	eval-logloss:0.14988	eval-auc:0.51039
[39]	train-logloss:0.03156	train-auc:0.99522	eval-logloss:0.15055	eval-auc:0.51097
[40]	train-logloss:0.03114	train-auc:0.99551	eval-logloss:0.15092	eval-auc:0.51073
[41]	train-logloss:0.03010	train-auc:0.99590	eval-logloss:0.15146	eval-auc:0.51172
[42]	train-logloss:0.02916	train-auc:0.99628	eval-logloss:0.15121	eval-auc:0.51578
[43]	train-logloss:0.02810	train-auc:0.99683	eval-logloss:0.15237	eval-auc:0.51355
[44]	train-logloss:0.02755	train-auc:0.99702	eval-logloss:0.15250	eval-auc:0.51592
[45]	train-logloss:0.02706	train-auc:0.99717	eval-logloss:0.15282	eval-auc:0.51533
[46]	train-logloss:0.02633	train-auc:0.99741	eval-logloss:0.15356	eval-auc:0.51853
[47]	train-logloss:0.02540	train-auc:0.99758	eval-logloss:0.15367	eval-auc:0.52089
[48]	train-logloss:0.02493	train-auc:0.99766	eval-logloss:0.15397	eval-auc:0.52314
[49]	train-logloss:0.02438	train-auc:0.99777	eval-logloss:0.15439	eval-auc:0.52188
[50]	train-logloss:0.02364	train-auc:0.99788	eval-logloss:0.15532	eval-auc:0.52225
[51]	train-logloss:0.02296	train-auc:0.99796	eval-logloss:0.15582	eval-auc:0.52278
[52]	train-logloss:0.02209	train-auc:0.99820	eval-logloss:0.15636	eval-auc:0.52385
[53]	train-logloss:0.02166	train-auc:0.99830	eval-logloss:0.15660	eval-auc:0.52772
[54]	train-logloss:0.02132	train-auc:0.99837	eval-logloss:0.15681	eval-auc:0.52740
[55]	train-logloss:0.02080	train-auc:0.99844	eval-logloss:0.15743	eval-auc:0.52802
[56]	train-logloss:0.02021	train-auc:0.99855	eval-logloss:0.15888	eval-auc:0.52682
[57]	train-logloss:0.01976	train-auc:0.99861	eval-logloss:0.15922	eval-auc:0.52719
[58]	train-logloss:0.01932	train-auc:0.99869	eval-logloss:0.15983	eval-auc:0.52779
[59]	train-logloss:0.01887	train-auc:0.99874	eval-logloss:0.16076	eval-auc:0.52704
[60]	train-logloss:0.01844	train-auc:0.99877	eval-logloss:0.16124	eval-auc:0.53043
[61]	train-logloss:0.01827	train-auc:0.99880	eval-logloss:0.16137	eval-auc:0.53181
[62]	train-logloss:0.01786	train-auc:0.99883	eval-logloss:0.16207	eval-auc:0.53113
[63]	train-logloss:0.01742	train-auc:0.99887	eval-logloss:0.16243	eval-auc:0.53168
[64]	train-logloss:0.01726	train-auc:0.99888	eval-logloss:0.16239	eval-auc:0.53387
[65]	train-logloss:0.01707	train-auc:0.99889	eval-logloss:0.16234	eval-auc:0.53699
[66]	train-logloss:0.01669	train-auc:0.99894	eval-logloss:0.16301	eval-auc:0.53699
[67]	train-logloss:0.01649	train-auc:0.99896	eval-logloss:0.16350	eval-auc:0.53663
[68]	train-logloss:0.01605	train-auc:0.99910	eval-logloss:0.16372	eval-auc:0.53892
[69]	train-logloss:0.01576	train-auc:0.99914	eval-logloss:0.16372	eval-auc:0.54098
[70]	train-logloss:0.01549	train-auc:0.99915	eval-logloss:0.16455	eval-auc:0.54025
[71]	train-logloss:0.01533	train-auc:0.99917	eval-logloss:0.16484	eval-auc:0.54130
[72]	train-logloss:0.01497	train-auc:0.99922	eval-logloss:0.16648	eval-auc:0.53593
[73]	train-logloss:0.01489	train-auc:0.99922	eval-logloss:0.16724	eval-auc:0.53484
[74]	train-logloss:0.01462	train-auc:0.99926	eval-logloss:0.16750	eval-auc:0.53418
[75]	train-logloss:0.01438	train-auc:0.99927	eval-logloss:0.16831	eval-auc:0.53281
[76]	train-logloss:0.01410	train-auc:0.99929	eval-logloss:0.16934	eval-auc:0.52850
[77]	train-logloss:0.01369	train-auc:0.99930	eval-logloss:0.17035	eval-auc:0.52680
[78]	train-logloss:0.01343	train-auc:0.99930	eval-logloss:0.17115	eval-auc:0.52513
[79]	train-logloss:0.01299	train-auc:0.99936	eval-logloss:0.17191	eval-auc:0.52631
[80]	train-logloss:0.01274	train-auc:0.99943	eval-logloss:0.17236	eval-auc:0.52713
[81]	train-logloss:0.01230	train-auc:0.99947	eval-logloss:0.17359	eval-auc:0.52477
[82]	train-logloss:0.01207	train-auc:0.99948	eval-logloss:0.17399	eval-auc:0.52513
[83]	train-logloss:0.01175	train-auc:0.99955	eval-logloss:0.17545	eval-auc:0.52376
[84]	train-logloss:0.01139	train-auc:0.99968	eval-logloss:0.17605	eval-auc:0.52189
[85]	train-logloss:0.01128	train-auc:0.99969	eval-logloss:0.17653	eval-auc:0.52387
[86]	train-logloss:0.01104	train-auc:0.99970	eval-logloss:0.17709	eval-auc:0.52409
[87]	train-logloss:0.01081	train-auc:0.99973	eval-logloss:0.17793	eval-auc:0.52336
[88]	train-logloss:0.01066	train-auc:0.99973	eval-logloss:0.17879	eval-auc:0.52346
[89]	train-logloss:0.01053	train-auc:0.99974	eval-logloss:0.17912	eval-auc:0.52451
[90]	train-logloss:0.01042	train-auc:0.99974	eval-logloss:0.17955	eval-auc:0.52454
[91]	train-logloss:0.01033	train-auc:0.99975	eval-logloss:0.18029	eval-auc:0.52203
[92]	train-logloss:0.01025	train-auc:0.99976	eval-logloss:0.18051	eval-auc:0.52514
[93]	train-logloss:0.01006	train-auc:0.99976	eval-logloss:0.18106	eval-auc:0.52469
[94]	train-logloss:0.00985	train-auc:0.99977	eval-logloss:0.18191	eval-auc:0.52539
[95]	train-logloss:0.00961	train-auc:0.99982	eval-logloss:0.18226	eval-auc:0.52513
[96]	train-logloss:0.00936	train-auc:0.99984	eval-logloss:0.18431	eval-auc:0.52178
[97]	train-logloss:0.00921	train-auc:0.99985	eval-logloss:0.18486	eval-auc:0.52136
[98]	train-logloss:0.00917	train-auc:0.99985	eval-logloss:0.18520	eval-auc:0.52292
[99]	train-logloss:0.00899	train-auc:0.99985	eval-logloss:0.18556	eval-auc:0.52387
[100]	train-logloss:0.00892	train-auc:0.99986	eval-logloss:0.18571	eval-auc:0.52407
[101]	train-logloss:0.00877	train-auc:0.99986	eval-logloss:0.18625	eval-auc:0.52393
[102]	train-logloss:0.00871	train-auc:0.99987	eval-logloss:0.18643	eval-auc:0.52599
[103]	train-logloss:0.00862	train-auc:0.99987	eval-logloss:0.18670	eval-auc:0.52580
[104]	train-logloss:0.00855	train-auc:0.99987	eval-logloss:0.18729	eval-auc:0.52477
