No overlap between train and test sets.
[0]	train-logloss:0.09427	train-auc:0.78854	eval-logloss:0.12093	eval-auc:0.54271
[1]	train-logloss:0.08864	train-auc:0.85892	eval-logloss:0.12206	eval-auc:0.51496
[2]	train-logloss:0.08486	train-auc:0.87577	eval-logloss:0.12110	eval-auc:0.52420
[3]	train-logloss:0.08334	train-auc:0.88543	eval-logloss:0.12140	eval-auc:0.54090
[4]	train-logloss:0.07768	train-auc:0.91123	eval-logloss:0.12465	eval-auc:0.50733
[5]	train-logloss:0.07547	train-auc:0.92030	eval-logloss:0.12567	eval-auc:0.50374
[6]	train-logloss:0.07226	train-auc:0.93336	eval-logloss:0.12616	eval-auc:0.51668
[7]	train-logloss:0.07086	train-auc:0.93704	eval-logloss:0.12687	eval-auc:0.51438
[8]	train-logloss:0.06667	train-auc:0.94874	eval-logloss:0.12793	eval-auc:0.50957
[9]	train-logloss:0.06432	train-auc:0.95543	eval-logloss:0.12875	eval-auc:0.50739
[10]	train-logloss:0.06175	train-auc:0.96031	eval-logloss:0.12928	eval-auc:0.50760
[11]	train-logloss:0.05926	train-auc:0.96499	eval-logloss:0.13012	eval-auc:0.50964
[12]	train-logloss:0.05835	train-auc:0.96682	eval-logloss:0.13147	eval-auc:0.50739
[13]	train-logloss:0.05696	train-auc:0.96919	eval-logloss:0.13164	eval-auc:0.51635
[14]	train-logloss:0.05600	train-auc:0.97081	eval-logloss:0.13286	eval-auc:0.50851
[15]	train-logloss:0.05412	train-auc:0.97362	eval-logloss:0.13442	eval-auc:0.50101
[16]	train-logloss:0.05337	train-auc:0.97454	eval-logloss:0.13426	eval-auc:0.50869
[17]	train-logloss:0.05241	train-auc:0.97615	eval-logloss:0.13463	eval-auc:0.51183
[18]	train-logloss:0.05118	train-auc:0.97746	eval-logloss:0.13537	eval-auc:0.50889
[19]	train-logloss:0.04974	train-auc:0.97948	eval-logloss:0.13666	eval-auc:0.50367
[20]	train-logloss:0.04721	train-auc:0.98274	eval-logloss:0.13880	eval-auc:0.49537
[21]	train-logloss:0.04641	train-auc:0.98432	eval-logloss:0.13930	eval-auc:0.49816
[22]	train-logloss:0.04493	train-auc:0.98612	eval-logloss:0.14048	eval-auc:0.49412
[23]	train-logloss:0.04365	train-auc:0.98769	eval-logloss:0.14106	eval-auc:0.49783
[24]	train-logloss:0.04209	train-auc:0.98907	eval-logloss:0.14183	eval-auc:0.49496
[25]	train-logloss:0.04162	train-auc:0.98939	eval-logloss:0.14269	eval-auc:0.49271
[26]	train-logloss:0.04044	train-auc:0.99060	eval-logloss:0.14342	eval-auc:0.49437
[27]	train-logloss:0.03896	train-auc:0.99180	eval-logloss:0.14456	eval-auc:0.49269
[28]	train-logloss:0.03812	train-auc:0.99233	eval-logloss:0.14516	eval-auc:0.49420
[29]	train-logloss:0.03729	train-auc:0.99282	eval-logloss:0.14518	eval-auc:0.49834
[30]	train-logloss:0.03650	train-auc:0.99328	eval-logloss:0.14600	eval-auc:0.49866
[31]	train-logloss:0.03580	train-auc:0.99363	eval-logloss:0.14609	eval-auc:0.50249
[32]	train-logloss:0.03549	train-auc:0.99377	eval-logloss:0.14597	eval-auc:0.50973
