No overlap between train and test sets.
[0]	train-logloss:0.08524	train-auc:0.81174	eval-logloss:0.10478	eval-auc:0.58221
[1]	train-logloss:0.07827	train-auc:0.86644	eval-logloss:0.10497	eval-auc:0.60681
[2]	train-logloss:0.07440	train-auc:0.88246	eval-logloss:0.10570	eval-auc:0.60557
[3]	train-logloss:0.07082	train-auc:0.89880	eval-logloss:0.10741	eval-auc:0.58854
[4]	train-logloss:0.06622	train-auc:0.92399	eval-logloss:0.10754	eval-auc:0.59919
[5]	train-logloss:0.06372	train-auc:0.93174	eval-logloss:0.10773	eval-auc:0.60198
[6]	train-logloss:0.06044	train-auc:0.94374	eval-logloss:0.10931	eval-auc:0.58789
[7]	train-logloss:0.05805	train-auc:0.95115	eval-logloss:0.11095	eval-auc:0.57177
[8]	train-logloss:0.05604	train-auc:0.95704	eval-logloss:0.11205	eval-auc:0.57032
[9]	train-logloss:0.05518	train-auc:0.95944	eval-logloss:0.11269	eval-auc:0.57386
[10]	train-logloss:0.05356	train-auc:0.96382	eval-logloss:0.11326	eval-auc:0.57647
[11]	train-logloss:0.05166	train-auc:0.96884	eval-logloss:0.11416	eval-auc:0.57370
[12]	train-logloss:0.04998	train-auc:0.97232	eval-logloss:0.11441	eval-auc:0.57948
[13]	train-logloss:0.04820	train-auc:0.97671	eval-logloss:0.11456	eval-auc:0.58407
[14]	train-logloss:0.04679	train-auc:0.97888	eval-logloss:0.11542	eval-auc:0.57887
[15]	train-logloss:0.04563	train-auc:0.98039	eval-logloss:0.11567	eval-auc:0.58166
[16]	train-logloss:0.04462	train-auc:0.98213	eval-logloss:0.11582	eval-auc:0.58268
[17]	train-logloss:0.04213	train-auc:0.98601	eval-logloss:0.11676	eval-auc:0.58228
[18]	train-logloss:0.03920	train-auc:0.98974	eval-logloss:0.11841	eval-auc:0.58114
[19]	train-logloss:0.03787	train-auc:0.99095	eval-logloss:0.11848	eval-auc:0.58640
[20]	train-logloss:0.03621	train-auc:0.99268	eval-logloss:0.11947	eval-auc:0.58240
[21]	train-logloss:0.03534	train-auc:0.99344	eval-logloss:0.12048	eval-auc:0.57873
[22]	train-logloss:0.03437	train-auc:0.99388	eval-logloss:0.12058	eval-auc:0.58474
[23]	train-logloss:0.03240	train-auc:0.99497	eval-logloss:0.12170	eval-auc:0.58404
[24]	train-logloss:0.03124	train-auc:0.99575	eval-logloss:0.12235	eval-auc:0.58510
[25]	train-logloss:0.02998	train-auc:0.99631	eval-logloss:0.12290	eval-auc:0.58733
